dataset,method,seed,metric,quantile,value
D17 Human_Kidney_Cancer,GARQ,2,max_fold_enrichment,0.05,9.695495495495496
D17 Human_Kidney_Cancer,GARQ,2,max_fold_enrichment,0.5,12.832273449920509
D17 Human_Kidney_Cancer,GARQ,2,max_fold_enrichment,0.95,19.831695331695332
D17 Human_Kidney_Cancer,GARQ,2,max_fold_enrichment,0.99,25.664546899841017
D17 Human_Kidney_Cancer,GARQ,2,top1_capture,0.01,0.013513513513513514
D17 Human_Kidney_Cancer,GARQ,2,top1_capture,0.05,0.013513513513513514
D17 Human_Kidney_Cancer,GARQ,2,top1_capture,0.5,0.02702702702702703
D17 Human_Kidney_Cancer,GARQ,2,top1_capture,0.95,0.04054054054054054
D17 Human_Kidney_Cancer,GARQ,2,top1_capture,0.99,0.05405405405405406
D17 Human_Kidney_Cancer,GARQ,2,top3_capture,0.01,0.04054054054054054
D17 Human_Kidney_Cancer,GARQ,2,top3_capture,0.05,0.04054054054054054
D17 Human_Kidney_Cancer,GARQ,2,top3_capture,0.5,0.06756756756756757
D17 Human_Kidney_Cancer,GARQ,2,top3_capture,0.95,0.0945945945945946
D17 Human_Kidney_Cancer,GARQ,2,top3_capture,0.99,0.10810810810810811
D17 Human_Kidney_Cancer,GARQ,2,hhi,0.01,0.014609203798392994
D17 Human_Kidney_Cancer,GARQ,2,hhi,0.05,0.01497443389335282
D17 Human_Kidney_Cancer,GARQ,2,hhi,0.5,0.01680058436815194
D17 Human_Kidney_Cancer,GARQ,2,hhi,0.95,0.01862673484295107
D17 Human_Kidney_Cancer,GARQ,2,hhi,0.99,0.01972242512783054
D17 Human_Kidney_Cancer,GARQ,2,normalized_hhi,0.01,0.0005321924240843216
D17 Human_Kidney_Cancer,GARQ,2,normalized_hhi,0.05,0.0008593649293172392
D17 Human_Kidney_Cancer,GARQ,2,normalized_hhi,0.5,0.0015328596409677525
D17 Human_Kidney_Cancer,GARQ,2,normalized_hhi,0.95,0.0026783540297053827
D17 Human_Kidney_Cancer,GARQ,2,normalized_hhi,0.99,0.003281083476032529
D17 Human_Kidney_Cancer,MetaQ,0,max_purity,0.01,0.04
D17 Human_Kidney_Cancer,MetaQ,0,max_purity,0.05,0.043478260869565216
D17 Human_Kidney_Cancer,MetaQ,0,max_purity,0.5,0.058823529411764705
D17 Human_Kidney_Cancer,MetaQ,0,max_purity,0.95,0.09090909090909091
D17 Human_Kidney_Cancer,MetaQ,0,max_purity,0.99,0.11764705882352941
D17 Human_Kidney_Cancer,MetaQ,0,max_fold_enrichment,0.01,8.725945945945947
D17 Human_Kidney_Cancer,MetaQ,0,max_fold_enrichment,0.05,9.484723854289072
D17 Human_Kidney_Cancer,MetaQ,0,max_fold_enrichment,0.5,12.832273449920509
D17 Human_Kidney_Cancer,MetaQ,0,max_fold_enrichment,0.95,19.831695331695332
D17 Human_Kidney_Cancer,MetaQ,0,max_fold_enrichment,0.99,25.664546899841017
D17 Human_Kidney_Cancer,MetaQ,0,top1_capture,0.01,0.013513513513513514
D17 Human_Kidney_Cancer,MetaQ,0,top1_capture,0.05,0.013513513513513514
D17 Human_Kidney_Cancer,MetaQ,0,top1_capture,0.5,0.02702702702702703
D17 Human_Kidney_Cancer,MetaQ,0,top1_capture,0.95,0.04054054054054054
D17 Human_Kidney_Cancer,MetaQ,0,top1_capture,0.99,0.05405405405405406
D17 Human_Kidney_Cancer,MetaQ,0,top3_capture,0.01,0.04054054054054054
D17 Human_Kidney_Cancer,MetaQ,0,top3_capture,0.05,0.04054054054054054
D17 Human_Kidney_Cancer,MetaQ,0,top3_capture,0.5,0.06756756756756757
D17 Human_Kidney_Cancer,MetaQ,0,top3_capture,0.95,0.10810810810810811
D17 Human_Kidney_Cancer,MetaQ,0,top3_capture,0.99,0.12162162162162163
D17 Human_Kidney_Cancer,MetaQ,0,hhi,0.01,0.014609203798392994
D17 Human_Kidney_Cancer,MetaQ,0,hhi,0.05,0.01497443389335282
D17 Human_Kidney_Cancer,MetaQ,0,hhi,0.5,0.01680058436815194
