dataset,method,seed,metric,quantile,value
D17 Human_Kidney_Cancer,KMeans,1,normalized_hhi,0.5,0.0015328596409677525
D17 Human_Kidney_Cancer,KMeans,1,normalized_hhi,0.95,0.0026418310202094056
D17 Human_Kidney_Cancer,KMeans,1,normalized_hhi,0.99,0.0033332420258096085
D17 Human_Kidney_Cancer,KMeans,2,max_purity,0.01,0.0392156862745098
D17 Human_Kidney_Cancer,KMeans,2,max_purity,0.05,0.041666666666666664
D17 Human_Kidney_Cancer,KMeans,2,max_purity,0.5,0.05714285714285714
D17 Human_Kidney_Cancer,KMeans,2,max_purity,0.95,0.08333333333333333
D17 Human_Kidney_Cancer,KMeans,2,max_purity,0.99,0.3333333333333333
D17 Human_Kidney_Cancer,KMeans,2,max_fold_enrichment,0.01,8.554848966613672
D17 Human_Kidney_Cancer,KMeans,2,max_fold_enrichment,0.05,9.089527027027026
D17 Human_Kidney_Cancer,KMeans,2,max_fold_enrichment,0.5,12.465637065637065
D17 Human_Kidney_Cancer,KMeans,2,max_fold_enrichment,0.95,18.179054054054053
D17 Human_Kidney_Cancer,KMeans,2,max_fold_enrichment,0.99,72.71621621621621
D17 Human_Kidney_Cancer,KMeans,2,top1_capture,0.01,0.013513513513513514
D17 Human_Kidney_Cancer,KMeans,2,top1_capture,0.05,0.013513513513513514
D17 Human_Kidney_Cancer,KMeans,2,top1_capture,0.5,0.02702702702702703
D17 Human_Kidney_Cancer,KMeans,2,top1_capture,0.95,0.04054054054054054
D17 Human_Kidney_Cancer,KMeans,2,top1_capture,0.99,0.05405405405405406
D17 Human_Kidney_Cancer,KMeans,2,top3_capture,0.01,0.05405405405405406
D17 Human_Kidney_Cancer,KMeans,2,top3_capture,0.05,0.05405405405405406
D17 Human_Kidney_Cancer,KMeans,2,top3_capture,0.5,0.08108108108108109
D17 Human_Kidney_Cancer,KMeans,2,top3_capture,0.95,0.10810810810810811
D17 Human_Kidney_Cancer,KMeans,2,top3_capture,0.99,0.12162162162162163
D17 Human_Kidney_Cancer,KMeans,2,hhi,0.01,0.014609203798392995
D17 Human_Kidney_Cancer,KMeans,2,hhi,0.05,0.015339663988312642
D17 Human_Kidney_Cancer,KMeans,2,hhi,0.5,0.01680058436815194
D17 Human_Kidney_Cancer,KMeans,2,hhi,0.95,0.018991964937910888
D17 Human_Kidney_Cancer,KMeans,2,hhi,0.99,0.020087655222790365
D17 Human_Kidney_Cancer,KMeans,2,normalized_hhi,0.01,0.0005321924240843234
D17 Human_Kidney_Cancer,KMeans,2,normalized_hhi,0.05,0.0008593649293172392
D17 Human_Kidney_Cancer,KMeans,2,normalized_hhi,0.5,0.0015652718355421075
D17 Human_Kidney_Cancer,KMeans,2,normalized_hhi,0.95,0.0027875439318333817
D17 Human_Kidney_Cancer,KMeans,2,normalized_hhi,0.99,0.00354037559791702
