dataset,method,seed,requested_K,realized_K,metacell_id,metacell_size,mast_count,mast_purity,background_abundance,fold_enrichment,fisher_p,fisher_q,is_mast_containing,is_associated,is_majority_dominated,is_high_purity
D17 Human_Kidney_Cancer,KMeans,1,323,323,151,59,1,0.01694915254237288,0.004584030229820975,3.6974347228584517,0.23781720436634482,1.0,True,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,14,40,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,206,54,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,301,35,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,85,62,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,98,86,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,289,55,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,240,58,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,118,34,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,111,60,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,96,45,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,156,49,1,0.02040816326530612,0.004584030229820975,4.452013237727523,0.2018590285279143,1.0,True,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,215,71,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,242,71,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,71,93,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,35,64,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,101,40,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,22,50,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,275,54,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,224,59,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,216,77,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,131,50,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,187,52,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,248,51,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,256,31,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,286,46,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,113,43,7,0.16279069767441862,0.004584030229820975,35.51257071024513,8.985750328969102e-10,1.45119867812851e-07,True,True,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,9,45,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
