dataset,method,seed,metric,observed,null_mean,null_sd,null_q95,empirical_p,z_score,empirical_p_bh_within_run
D17 Human_Kidney_Cancer,GARQ,0,max_purity,0.2702702702702703,0.06266141287817395,0.01569509456428563,0.09523809523809523,9.999000099990002e-05,13.227627048804964,9.999000099990002e-05
D17 Human_Kidney_Cancer,GARQ,0,max_fold_enrichment,58.9590942293645,13.66950254178868,3.423863669611661,20.776061776061777,9.999000099990002e-05,13.227627048804962,9.999000099990002e-05
D17 Human_Kidney_Cancer,GARQ,0,top1_capture,0.2702702702702703,0.0251027027027027,0.010162834202546515,0.04054054054054054,9.999000099990002e-05,24.123936559560875,9.999000099990002e-05
D17 Human_Kidney_Cancer,GARQ,0,top3_capture,0.44594594594594594,0.06815270270270271,0.017578968906469896,0.0945945945945946,9.999000099990002e-05,21.491206068644754,9.999000099990002e-05
D17 Human_Kidney_Cancer,GARQ,0,hhi,0.10409057706355006,0.016795105916727542,0.001110665845927875,0.01862673484295107,9.999000099990002e-05,78.5974210577205,9.999000099990002e-05
D17 Human_Kidney_Cancer,GARQ,0,normalized_hhi,0.076093407596786,0.0015816879084906202,0.0005881909541572542,0.0026418310202094056,9.999000099990002e-05,126.67947230683609,9.999000099990002e-05
D17 Human_Kidney_Cancer,GARQ,1,max_purity,0.1724137931034483,0.06502935635243438,0.016655655161732938,0.1,0.00039996000399960006,6.44732589071213,0.00047995200479952006
D17 Human_Kidney_Cancer,GARQ,1,max_fold_enrichment,37.611835973904945,14.186066210774978,3.63340866588993,21.814864864864866,0.00039996000399960006,6.447325890712131,0.00047995200479952006
D17 Human_Kidney_Cancer,GARQ,1,top1_capture,0.06756756756756757,0.023421621621621622,0.010489115787336056,0.04054054054054054,0.0022997700229977,4.208738547747292,0.0022997700229977
D17 Human_Kidney_Cancer,GARQ,1,top3_capture,0.3108108108108108,0.0652527027027027,0.01715161093906339,0.0945945945945946,9.999000099990002e-05,14.316912211950946,0.00019998000199980003
