dataset,method,number_of_valid_seeds,strict_recovery_seed_count,partial_localized_seed_count,evidence_level,strict_recall_mean,strict_recall_sd,strict_recall_median,strict_recall_min,strict_recall_max,strict_f1_mean,strict_f1_sd,strict_f1_median,strict_f1_min,strict_f1_max,max_purity_mean,max_purity_sd,max_purity_median,max_purity_min,max_purity_max,max_fold_enrichment_mean,max_fold_enrichment_sd,max_fold_enrichment_median,max_fold_enrichment_min,max_fold_enrichment_max,associated_recall_mean,associated_recall_sd,associated_recall_median,associated_recall_min,associated_recall_max,associated_metacell_count_mean,associated_metacell_count_sd,associated_metacell_count_median,associated_metacell_count_min,associated_metacell_count_max,top1_capture_mean,top1_capture_sd,top1_capture_median,top1_capture_min,top1_capture_max,top3_capture_mean,top3_capture_sd,top3_capture_median,top3_capture_min,top3_capture_max,top5_capture_mean,top5_capture_sd,top5_capture_median,top5_capture_min,top5_capture_max,normalized_hhi_mean,normalized_hhi_sd,normalized_hhi_median,normalized_hhi_min,normalized_hhi_max,associated_size_median_mean,associated_size_median_sd,associated_size_median_median,associated_size_median_min,associated_size_median_max
D17 Human_Kidney_Cancer,GARQ,3,0,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19848728038383212,0.0629364083996287,0.1724137931034483,0.1527777777777778,0.2702702702702703,43.299731989678406,13.729492443178462,37.611835973904945,33.32826576576577,58.9590942293645,0.6171171171171171,0.04343986829276107,0.6351351351351351,0.5675675675675675,0.6486486486486487,5.666666666666667,0.5773502691896258,6.0,5,6,0.16216216216216217,0.10202478966582094,0.14864864864864866,0.06756756756756757,0.2702702702702703,0.40090090090090086,0.07802030664724673,0.44594594594594594,0.3108108108108108,0.44594594594594594,0.5810810810810811,0.013513513513513542,0.581081081081081,0.5675675675675675,0.5945945945945946,0.060579127724397996,0.01427022051568712,0.05763026540053568,0.04801371017587232,0.076093407596786,69.83333333333333,3.617089069035117,68.0,67.5,74.0
D17 Human_Kidney_Cancer,MetaQ,3,3,0,A,0.20720720720720723,0.0281306216144072,0.21621621621621623,0.17567567567567569,0.22972972972972974,0.32597048111572197,0.0402065810147379,0.34782608695652173,0.2795698924731183,0.35051546391752575,0.7707432833290957,0.1059378929907454,0.7391304347826086,0.6842105263157895,0.8888888888888888,168.13660571326474,23.110208196616263,161.2403055229142,149.25960170697013,193.9099099099099,0.6396396396396397,0.04343986829276104,0.6216216216216216,0.6081081081081081,0.6891891891891891,4.666666666666667,1.1547005383792517,4.0,4,6,0.20720720720720723,0.0281306216144072,0.21621621621621623,0.17567567567567569,0.22972972972972974,0.5315315315315315,0.05116133644865111,0.5540540540540541,0.47297297297297297,0.5675675675675675,0.6441441441441441,0.020642232860161463,0.6486486486486487,0.6216216216216216,0.6621621621621622,0.08943493909710126,0.013815955834458197,0.09187058680301925,0.07456312861718266,0.10187110187110188,63.833333333333336,1.2583057392117918,64.0,62.5,65.0
D17 Human_Kidney_Cancer,SEACells,3,1,2,A,0.02702702702702703,0.046812183988348036,0.0,0.0,0.08108108108108109,0.04819277108433736,0.08347232807560856,0.0,0.0,0.14457831325301207,0.42185592185592186,0.22847817123249925,0.38461538461538464,0.21428571428571427,0.6666666666666666,92.02729927729928,49.842204300084255,83.9033264033264,46.746138996138995,145.43243243243242,0.3423423423423424,0.007802030664724689,0.33783783783783783,0.33783783783783783,0.35135135135135137,6.0,0.0,6.0,6,6,0.07657657657657659,0.007802030664724673,0.08108108108108109,0.06756756756756757,0.08108108108108109,0.1801801801801802,0.020642232860161442,0.17567567567567569,0.16216216216216217,0.20270270270270271,0.2747747747747748,0.028130621614407193,0.28378378378378377,0.24324324324324326,0.2972972972972973,0.01129514177911413,0.0005015007349544408,0.011005600194789389,0.011005600194789389,0.011874224947763613,26.5,3.968626966596886,25.0,23.5,31.0
D17 Human_Kidney_Cancer,KMeans,3,0,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16919863082653783,0.014422109802974753,0.16279069767441862,0.1590909090909091,0.18571428571428572,36.91045266801081,3.146163764181373,35.51257071024513,34.70546683046683,40.51332046332047,0.5585585585585585,0.07802030664724675,0.5135135135135135,0.5135135135135135,0.6486486486486487,6.0,1.0,6.0,5,7,0.12162162162162164,0.046812183988348036,0.0945945945945946,0.0945945945945946,0.17567567567567569,0.30180180180180183,0.043439868292761065,0.28378378378378377,0.2702702702702703,0.35135135135135137,0.5,0.0357533960954674,0.5135135135135135,0.4594594594594595,0.527027027027027,0.03750721892116963,0.006560169382574045,0.03541590577063549,0.03224766897262924,0.04485808202024416,63.666666666666664,2.0816659994661326,63.0,62.0,66.0
