dataset,method,seed,n_cells,mast_count,mast_abundance,requested_K,realized_K,empty_count,compression_ratio,strict_recall,strict_precision,strict_f1,high_purity_recall,max_purity,max_fold_enrichment,mast_containing_metacell_count,associated_metacell_count,associated_recall,associated_pooled_precision,associated_weighted_purity,dominated_metacell_count,high_purity_metacell_count,top1_capture,top3_capture,top5_capture,hhi,normalized_hhi,effective_mast_metacells,associated_size_min,associated_size_q1,associated_size_median,associated_size_q3,associated_size_max,evidence_level
D17 Human_Kidney_Cancer,GARQ,0,16143,74,0.004584030229820975,323,323,0,49.978328173374614,0.0,,0.0,0.0,0.2702702702702703,58.9590942293645,33,5,0.5675675675675675,0.11413043478260869,0.11413043478260869,0,0,0.2702702702702703,0.44594594594594594,0.5675675675675675,0.10409057706355006,0.076093407596786,9.607017543859648,63,67.0,74.0,79.0,85,B
D17 Human_Kidney_Cancer,GARQ,1,16143,74,0.004584030229820975,323,323,0,49.978328173374614,0.0,,0.0,0.0,0.1724137931034483,37.611835973904945,27,6,0.6351351351351351,0.10085836909871244,0.10085836909871244,0,0,0.06756756756756757,0.3108108108108108,0.581081081081081,0.08327246165084001,0.04801371017587232,12.008771929824563,29,59.0,68.0,75.5,167,B
D17 Human_Kidney_Cancer,GARQ,2,16143,74,0.004584030229820975,323,323,0,49.978328173374614,0.0,,0.0,0.0,0.1527777777777778,33.32826576576577,25,6,0.6486486486486487,0.10933940774487472,0.10933940774487472,0,0,0.14864864864864866,0.44594594594594594,0.5945945945945946,0.09532505478451425,0.05763026540053568,10.490421455938696,60,62.25,67.5,77.25,103,B
D17 Human_Kidney_Cancer,MetaQ,0,16143,74,0.004584030229820975,323,323,0,49.978328173374614,0.22972972972972974,0.7391304347826086,0.35051546391752575,0.22972972972972974,0.7391304347826086,161.2403055229142,25,4,0.6216216216216216,0.20353982300884957,0.20353982300884957,1,1,0.22972972972972974,0.5675675675675675,0.6621621621621622,0.1281957633308985,0.09187058680301925,7.800569800569799,23,52.25,65.0,69.25,73,A
D17 Human_Kidney_Cancer,MetaQ,1,16143,74,0.004584030229820975,323,323,0,49.978328173374614,0.17567567567567569,0.6842105263157895,0.2795698924731183,0.0,0.6842105263157895,149.25960170697013,27,6,0.6891891891891891,0.17229729729729729,0.17229729729729729,1,0,0.17567567567567569,0.47297297297297297,0.6216216216216216,0.10883856829802775,0.07456312861718266,9.18791946308725,14,30.0,64.0,65.0,70,A
D17 Human_Kidney_Cancer,MetaQ,2,16143,74,0.004584030229820975,323,323,0,49.978328173374614,0.21621621621621623,0.8888888888888888,0.34782608695652173,0.21621621621621623,0.8888888888888888,193.9099099099099,27,4,0.6081081081081081,0.20642201834862386,0.20642201834862386,1,1,0.21621621621621623,0.5540540540540541,0.6486486486486487,0.13513513513513514,0.10187110187110188,7.3999999999999995,18,45.0,62.5,72.0,75,A
D17 Human_Kidney_Cancer,SEACells,0,16143,74,0.004584030229820975,323,323,0,49.978328173374614,0.0,,0.0,0.0,0.38461538461538464,83.9033264033264,44,6,0.35135135135135137,0.14942528735632185,0.14942528735632185,0,0,0.06756756756756757,0.16216216216216217,0.2972972972972973,0.03433162892622353,0.011874224947763613,29.127659574468076,13,25.0,31.0,36.25,38,B
D17 Human_Kidney_Cancer,SEACells,1,16143,74,0.004584030229820975,323,323,0,49.978328173374614,0.08108108108108109,0.6666666666666666,0.14457831325301207,0.0,0.6666666666666666,145.43243243243242,46,6,0.33783783783783783,0.17123287671232876,0.17123287671232876,1,0,0.08108108108108109,0.17567567567567569,0.24324324324324326,0.0325054784514244,0.011005600194789389,30.76404494382022,9,19.0,23.5,27.25,44,A
D17 Human_Kidney_Cancer,SEACells,2,16143,74,0.004584030229820975,323,323,0,49.978328173374614,0.0,,0.0,0.0,0.21428571428571427,46.746138996138995,46,6,0.33783783783783783,0.16339869281045752,0.16339869281045752,0,0,0.08108108108108109,0.20270270270270271,0.28378378378378377,0.0325054784514244,0.011005600194789389,30.76404494382022,18,19.75,25.0,28.75,37,B
D17 Human_Kidney_Cancer,KMeans,0,16143,74,0.004584030229820975,323,323,0,49.978328173374614,0.0,,0.0,0.0,0.1590909090909091,34.70546683046683,33,5,0.5135135135135135,0.10584958217270195,0.10584958217270195,0,0,0.0945945945945946,0.28378378378378377,0.5135135135135135,0.06464572680788896,0.03541590577063549,15.468926553672318,43,44.0,62.0,104.0,106,B
D17 Human_Kidney_Cancer,KMeans,1,16143,74,0.004584030229820975,323,323,0,49.978328173374614,0.0,,0.0,0.0,0.16279069767441862,35.51257071024513,35,6,0.5135135135135135,0.10326086956521739,0.10326086956521739,0,0,0.0945945945945946,0.2702702702702703,0.4594594594594595,0.059897735573411263,0.03224766897262924,16.69512195121951,20,46.25,66.0,81.25,90,B
D17 Human_Kidney_Cancer,KMeans,2,16143,74,0.004584030229820975,323,323,0,49.978328173374614,0.0,,0.0,0.0,0.18571428571428572,40.51332046332047,29,7,0.6486486486486487,0.09302325581395349,0.09302325581395349,0,0,0.17567567567567569,0.35135135135135137,0.527027027027027,0.07779401022644264,0.04485808202024416,12.854460093896718,48,51.5,63.0,87.0,128,B
