dataset,method,seed,rank,metacell_id,size,mast_count,purity,fold_enrichment,q_value,cumulative_capture
D17 Human_Kidney_Cancer,SEACells,2,2,SEACell-127,22,4,0.18181818181818182,39.663390663390665,0.00030096444765209906,0.13513513513513514
D17 Human_Kidney_Cancer,SEACells,2,3,SEACell-300,29,5,0.1724137931034483,37.611835973904945,3.106226723468141e-05,0.20270270270270271
D17 Human_Kidney_Cancer,SEACells,2,4,SEACell-220,18,3,0.16666666666666666,36.358108108108105,0.0045756870313145735,0.24324324324324326
D17 Human_Kidney_Cancer,SEACells,2,5,SEACell-318,19,3,0.15789473684210525,34.44452347083926,0.0045756870313145735,0.28378378378378377
D17 Human_Kidney_Cancer,KMeans,0,1,178,44,7,0.1590909090909091,34.70546683046683,1.1463204292817485e-07,0.0945945945945946
D17 Human_Kidney_Cancer,KMeans,0,2,62,43,6,0.13953488372093023,30.43934632306725,3.248544970145532e-06,0.17567567567567569
D17 Human_Kidney_Cancer,KMeans,0,3,76,62,8,0.12903225806451613,28.14821272885789,5.920224507476353e-08,0.28378378378378377
D17 Human_Kidney_Cancer,KMeans,0,4,177,104,10,0.09615384615384616,20.9758316008316,1.3052395729178739e-08,0.4189189189189189
D17 Human_Kidney_Cancer,KMeans,0,5,257,106,7,0.0660377358490566,14.406042835288119,3.49064836706853e-05,0.5135135135135135
D17 Human_Kidney_Cancer,KMeans,1,1,113,43,7,0.16279069767441862,35.51257071024513,1.45119867812851e-07,0.0945945945945946
D17 Human_Kidney_Cancer,KMeans,1,2,265,20,3,0.15,32.722297297297295,0.006438539849741147,0.13513513513513514
D17 Human_Kidney_Cancer,KMeans,1,3,313,90,10,0.1111111111111111,24.23873873873874,3.0095006112303547e-09,0.2702702702702703
D17 Human_Kidney_Cancer,KMeans,1,4,153,83,8,0.0963855421686747,21.026375773363725,4.2650190125699623e-07,0.3783783783783784
D17 Human_Kidney_Cancer,KMeans,1,5,306,76,6,0.07894736842105263,17.22226173541963,0.00010339611680173782,0.4594594594594595
D17 Human_Kidney_Cancer,KMeans,2,1,73,70,13,0.18571428571428572,40.51332046332047,1.6246255322564506e-15,0.17567567567567569
D17 Human_Kidney_Cancer,KMeans,2,2,59,48,7,0.14583333333333334,31.813344594594597,2.1707077334303158e-07,0.2702702702702703
D17 Human_Kidney_Cancer,KMeans,2,3,154,49,6,0.12244897959183673,26.71207942636514,7.291499314261841e-06,0.35135135135135137
D17 Human_Kidney_Cancer,KMeans,2,4,158,104,9,0.08653846153846154,18.87824844074844,1.696037734854998e-07,0.47297297297297297
D17 Human_Kidney_Cancer,KMeans,2,5,74,54,4,0.07407407407407407,16.15915915915916,0.006987691323120214,0.527027027027027
