stage,wall_time_seconds,cpu_rss_start_bytes,cpu_rss_end_bytes,cpu_rss_peak_bytes,gpu_allocated_peak_bytes,gpu_reserved_peak_bytes,status,error_type,error_message
resource_preflight,0.06970701599493623,570773504,676749312,676749312,0,0,PASS,,
subset_materialization,6.209665711037815,676749312,743993344,3902595072,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,5.130796387791634,748544000,2123231232,3777155072,0,0,PASS,,
anchor_initialization_before_warmup,0.5943427700549364,2133753856,2496106496,2496106496,218115584,230686720,PASS,,
warmup_and_full_training,6.65699411323294,2496122880,3356712960,3426353152,1320931840,1459617792,PASS,,
inference,1.4789072866551578,3356721152,3357921280,3647836160,1861059584,2696937472,PASS,,
same_checkpoint_inference_stability,0.0010354849509894848,3360915456,3360915456,3360915456,442476032,2696937472,PASS,,
common_evaluation,0.05324124824255705,3360915456,3361562624,3361562624,442476032,2696937472,PASS,,
metacell_aggregation,0.30163533985614777,3361562624,3418128384,3464658944,442476032,2696937472,PASS,,
