method,assignment_path,candidate_keys,assignment_key,candidate_key_resolution,n_cells,requested_K,realized_K,k_difference,requested_compression_ratio,realized_compression_ratio,min_group_size,median_group_size,max_group_size,id_set_equality,order_equality,row_order_verified_by_label_vector,status,reason,alignment,fingerprint
GARQ,/home/zhangpeiru/results/1_ours/RNA_ATAC/kidney/kidney403_403metacell_k5_ids.h5ad,metacell,metacell,single allowed candidate,16143,403,403,0,0.0249643808461872,0.0249643808461872,7,44.0,82,False,False,True,PASS,,verified numeric row order by exact canonical label vector,fastsha256:1338bcc9f3600f8f81f2c2f6bb8d53c7bbc4d1b49038218f42e1a7513a457d9d:size=10673271:mtime_ns=1777528160349912416
MetaQ,/home/zhangpeiru/results/2_MetaQ/RNA_ATAC/kidney/kidney403_403metacell_ids.h5ad,metacell,metacell,single allowed candidate,16143,403,403,0,0.0249643808461872,0.0249643808461872,8,43.0,58,False,False,True,PASS,,verified numeric row order by exact canonical label vector,fastsha256:33deee631c46b7dcf7f161523276c8c616e60e25b7ad9d4a4a2d7b5dd3abde44:size=10991223:mtime_ns=1777528086549309473
SEACells,/home/zhangpeiru/vscode/SEACells-main/ours/save/RNA+ATAC/kidney/kidney_ad.h5ad,SEACell,SEACell,single allowed candidate,16143,403,403,0,0.0249643808461872,0.0249643808461872,1,41.0,119,True,True,False,PASS,,cell-ID set equality; reordered by canonical IDs,fastsha256:54f4c614250e78c68d3d3bbb402852f4a7fea61ac4da130013db6041bc27edd1:size=4217892227:mtime_ns=1769590379955392391
MetaCell V2,/home/zhangpeiru/results/4_mc2/RNA_ATAC/kidney/kidney_metacells2_ad.h5ad,metacell;membership,metacell,author override: metacell selected; membership is partition-equivalent,16143,403,429,26,0.0249643808461872,0.026574986062070247,20,36.0,79,True,True,False,PASS_AUTHOR_NONEXACT_K,same nominal compression input; realized K retained,cell-ID set equality; reordered by canonical IDs,fastsha256:7850d014b28cd47955ab91a56e4bf96cf55374ae9c8e0bd2597bcfcc59302256:size=2122653462:mtime_ns=1769588151485560851
SuperCell,/home/zhangpeiru/results/5_supercell/RNA_ATAC/kidney/kidney_supercell.h5ad,metacell,metacell,single allowed candidate,16143,403,404,1,0.0249643808461872,0.025026327200644242,4,26.0,560,False,False,True,PASS_AUTHOR_NONEXACT_K,same nominal compression input; realized K retained,verified numeric row order by exact canonical label vector,fastsha256:95f6fa8e9d919512377c26031b09aba069795e543c405074e29a77a08797c504:size=4193767517:mtime_ns=1769588528264607090
