method,assignment_key,requested_K,realized_K,mast_count,majority_recall,associated_recall,maximum_purity,associated_metacell_count,majority_metacell_count,associated_size_median,associated_size_min,associated_size_max,top3_capture,normalized_hhi
GARQ,metacell,403,403,74,0.0,0.5675675675675675,0.30158730158730157,4,0,61.0,53.0,68.0,0.4864864864864865,0.07800097394691985
MetaQ,metacell,403,403,74,0.0,0.581081081081081,0.22,7,0,47.0,26.0,51.0,0.3783783783783784,0.03761869978086192
SEACells,SEACell,403,403,74,0.0,0.22972972972972974,0.2727272727272727,5,0,22.0,11.0,46.0,0.12162162162162163,0.005692076574279543
MetaCell V2,metacell,403,429,74,0.0,0.16216216216216217,0.08695652173913043,3,0,55.0,46.0,68.0,0.13513513513513514,0.005989773557341131
SuperCell,metacell,403,404,74,0.0,0.22972972972972974,0.2857142857142857,4,0,52.0,27.0,107.0,0.05405405405405406,0.01336912022015731
