method,assignment,metric,observed,null_mean,null_sd,null_q95,empirical_p,n_permutations,random_seed
GARQ,figure4b_original_assignment,maximum_purity,0.30158730158730157,0.09561204555455007,0.025883823393474628,0.14285714285714285,0.00019998000199980003,10000,20260907
GARQ,figure4b_original_assignment,maximum_fold_enrichment,65.7908622908623,20.857638532258132,5.6465210951467695,31.164092664092664,0.00019998000199980003,10000,20260907
GARQ,figure4b_original_assignment,top1_capture,0.25675675675675674,0.018021621621621624,0.007909103945739784,0.02702702702702703,9.999000099990002e-05,10000,20260907
GARQ,figure4b_original_assignment,top3_capture,0.4864864864864865,0.052768918918918925,0.013556395648441879,0.08108108108108109,9.999000099990002e-05,10000,20260907
GARQ,figure4b_original_assignment,top5_capture,0.581081081081081,0.08839189189189188,0.01786184762807672,0.12162162162162163,9.999000099990002e-05,10000,20260907
GARQ,figure4b_original_assignment,hhi,0.10774287801314825,0.016324981738495257,0.0010346445592616105,0.01826150474799124,9.999000099990002e-05,10000,20260907
GARQ,figure4b_original_assignment,normalized_hhi,0.07800097394691985,0.0013690836651297723,0.0005509656723370641,0.0024270128890878733,9.999000099990002e-05,10000,20260907
MetaQ,figure4b_original_assignment,maximum_purity,0.22,0.0787539397594134,0.022089281026636192,0.125,0.0016998300169983002,10000,20260907
MetaQ,figure4b_original_assignment,maximum_fold_enrichment,47.9927027027027,17.18006553427312,4.81874680558092,27.26858108108108,0.0016998300169983002,10000,20260907
MetaQ,figure4b_original_assignment,top1_capture,0.14864864864864866,0.021983783783783788,0.010243378893790808,0.04054054054054054,9.999000099990002e-05,10000,20260907
MetaQ,figure4b_original_assignment,top3_capture,0.3783783783783784,0.0653391891891892,0.016402395843163515,0.0945945945945946,9.999000099990002e-05,10000,20260907
MetaQ,figure4b_original_assignment,top5_capture,0.4864864864864865,0.10810135135135135,0.01899933401884395,0.13513513513513514,9.999000099990002e-05,10000,20260907
MetaQ,figure4b_original_assignment,hhi,0.06866325785244702,0.01607012417823229,0.0009665219684909026,0.017896274653031414,9.999000099990002e-05,10000,20260907
MetaQ,figure4b_original_assignment,normalized_hhi,0.03761869978086192,0.001241809058913767,0.0005048066928966432,0.0021799671292914557,9.999000099990002e-05,10000,20260907
SEACells,figure4b_original_assignment,maximum_purity,0.2727272727272727,0.1653185834005676,0.09371830641115608,0.3333333333333333,0.058994100589941006,10000,20260907
SEACells,figure4b_original_assignment,maximum_fold_enrichment,59.495085995085994,36.064025565342746,20.44452189723368,72.71621621621621,0.058994100589941006,10000,20260907
SEACells,figure4b_original_assignment,top1_capture,0.04054054054054054,0.014983783783783783,0.004602024148450167,0.02702702702702703,0.007399260073992601,10000,20260907
SEACells,figure4b_original_assignment,top3_capture,0.12162162162162163,0.045654054054054066,0.009304334684226928,0.06756756756756757,0.00019998000199980003,10000,20260907
SEACells,figure4b_original_assignment,top5_capture,0.17567567567567569,0.07932162162162162,0.014669264667702298,0.10810810810810811,0.00029997000299970003,10000,20260907
SEACells,figure4b_original_assignment,hhi,0.02410518626734844,0.01687651570489409,0.0011590912255845139,0.018991964937910888,0.00019998000199980003,10000,20260907
SEACells,figure4b_original_assignment,normalized_hhi,0.005692076574279543,0.0016348813500488533,0.0006266787236826753,0.002798133792030922,0.00029997000299970003,10000,20260907
MetaCell V2,figure4b_original_assignment,maximum_purity,0.08695652173913043,0.07038072040861261,0.013146300381025577,0.09375,0.07749225077492251,10000,20260907
MetaCell V2,figure4b_original_assignment,maximum_fold_enrichment,18.969447708578144,15.353459048057207,2.8678476628499445,20.45143581081081,0.07749225077492251,10000,20260907
MetaCell V2,figure4b_original_assignment,top1_capture,0.05405405405405406,0.029283783783783785,0.005870682644842368,0.04054054054054054,0.011898810118988102,10000,20260907
MetaCell V2,figure4b_original_assignment,top3_capture,0.13513513513513514,0.08233783783783784,0.010878301171290213,0.0945945945945946,0.00039996000399960006,10000,20260907
MetaCell V2,figure4b_original_assignment,top5_capture,0.21621621621621623,0.1263864864864865,0.01817180238748925,0.14864864864864866,9.999000099990002e-05,10000,20260907
MetaCell V2,figure4b_original_assignment,hhi,0.02373995617238861,0.015917713659605558,0.0009340622954783418,0.01753104455807159,9.999000099990002e-05,10000,20260907
MetaCell V2,figure4b_original_assignment,normalized_hhi,0.005989773557341131,0.0011699810030645712,0.00048719244486582317,0.0020558919861448244,9.999000099990002e-05,10000,20260907
SuperCell,figure4b_original_assignment,maximum_purity,0.2857142857142857,0.15395575809140222,0.05065621028850058,0.25,0.007699230076992301,10000,20260907
SuperCell,figure4b_original_assignment,maximum_fold_enrichment,62.32818532818533,33.585240579317656,11.050583820098174,54.53716216216216,0.007699230076992301,10000,20260907
SuperCell,figure4b_original_assignment,top1_capture,0.02702702702702703,0.0154972972972973,0.005248827593267259,0.02702702702702703,0.13538646135386462,10000,20260907
SuperCell,figure4b_original_assignment,top3_capture,0.05405405405405406,0.04649189189189191,0.009134310787139392,0.06756756756756757,0.35196480351964804,10000,20260907
SuperCell,figure4b_original_assignment,top5_capture,0.12162162162162163,0.07758513513513512,0.011879997085226118,0.0945945945945946,0.0086991300869913,10000,20260907
SuperCell,figure4b_original_assignment,hhi,0.03579254930606283,0.01946891891891893,0.0021468130613240214,0.023374726077428788,0.00019998000199980003,10000,20260907
SuperCell,figure4b_original_assignment,normalized_hhi,0.01336912022015731,0.003244578838160155,0.0015291071752750042,0.006164832120097733,0.00039996000399960006,10000,20260907
