stage,wall_time_seconds,cpu_rss_start_bytes,cpu_rss_end_bytes,cpu_rss_peak_bytes,gpu_allocated_peak_bytes,gpu_reserved_peak_bytes,status,error_type,error_message
resource_preflight,0.11197991110384464,571203584,676904960,676904960,0,0,PASS,,
subset_materialization,0.48120377119630575,676904960,727187456,743948288,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,5.553682473953813,731701248,2125348864,3780116480,0,0,PASS,,
anchor_initialization_before_warmup,0.5599225680343807,2138017792,2455924736,2455924736,218115584,230686720,PASS,,
warmup_and_full_training,6.570598531048745,2455937024,3336867840,3408031744,1320931840,1459617792,PASS,,
inference,1.459659127984196,3336957952,3338145792,3628056576,1861059584,2696937472,PASS,,
same_checkpoint_inference_stability,0.0008024321869015694,3341242368,3341242368,3341242368,442476032,2696937472,PASS,,
common_evaluation,0.0374457947909832,3341242368,3342135296,3342135296,442476032,2696937472,PASS,,
metacell_aggregation,0.2510918490588665,3342135296,3389227008,3415560192,442476032,2696937472,PASS,,
