dataset,seed,modality_combination,data_type,block_dim,l2_norm_mean,l2_norm_median,l2_norm_p95,variance_trace,variance_per_dim_mean,pairwise_squared_distance_energy,sampled_pair_mean_abs_dot,normalization_before_concat,modality_weight,relative_abs_dot_contribution
D18,0,RNA+ATAC+ADT,RNA,32,5.671536922454834,5.6696319580078125,5.694146680831909,30.379085540771484,0.9493464231491089,60.75817108154297,11.07392692565918,False,1.0,0.25851706672678326
D18,0,RNA+ATAC+ADT,ATAC,32,5.683187007904053,5.686972141265869,5.702927041053772,19.865253448486328,0.6207891702651978,39.730506896972656,14.800712585449219,False,1.0,0.3455176134665308
D18,0,RNA+ATAC+ADT,ADT,32,5.711434364318848,5.713464260101318,5.738243889808655,15.714130401611328,0.491066575050354,31.428260803222656,16.961708068847656,False,1.0,0.3959653198066859
