epoch,phase,loss_rec,loss_vq
0,warmup,0.5242890885898045,
1,quantized,3.6814607828855515,1.830855131149292
2,quantized,2.961926594376564,1.8029917989458357
3,quantized,2.567608952522278,1.8296870163508825
4,quantized,2.36588953435421,1.849125521523612
5,quantized,2.242276892066002,1.8367486681256975
