stage,wall_time_seconds,cpu_rss_start_bytes,cpu_rss_end_bytes,cpu_rss_peak_bytes,gpu_allocated_peak_bytes,gpu_reserved_peak_bytes,status,error_type,error_message
resource_preflight,0.07314233388751745,569556992,675008512,675008512,0,0,PASS,,
subset_materialization,1.184478766284883,675561472,700264448,876240896,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,0.9466707450337708,705470464,921698304,1417269248,0,0,PASS,,
anchor_initialization_before_warmup,0.27667730394750834,943181824,1043402752,1043402752,57665024,62914560,PASS,,
warmup_and_full_training,4.385456090793014,1043439616,1583116288,1583169536,221811712,255852544,PASS,,
inference,0.8536679800599813,1583206400,1584541696,1596018688,226103808,297795584,PASS,,
same_checkpoint_inference_stability,0.0009325859136879444,1588023296,1588023296,1588023296,130039296,297795584,PASS,,
common_evaluation,0.08501917496323586,1588023296,1588744192,1588744192,130039296,297795584,PASS,,
metacell_aggregation,0.0676260800100863,1588744192,1610711040,1610711040,130039296,297795584,PASS,,
