,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
SEACell-0,-0.8739826325784879,-0.48339930578455237,3.179659399829638,3.9202455117532136,-0.1471868050916948,0.05146876710508991,-0.2250943644002186,0.22547927665031117,0.8190555958714095,0.14608034639465983,-0.4897121549030426,-0.003239921515184659,0.009263928973211577,0.35160280370379676,0.2749315895159484
SEACell-1,-1.2156040381928868,-1.6259891005672158,-0.22262534308616913,-3.106546387808357,0.34016311557573925,-0.25141355252425196,0.43844034415050026,0.09681533497662459,0.2705729123040041,-0.9605334533810324,-0.18941835105508545,0.05575952226147398,-0.4361819733283989,0.5561289920111687,-0.04851490666084816
SEACell-10,-1.783857745287582,-1.5943937252203906,-1.5727567231296649,0.17961054159895118,-0.15523632330721981,-1.10466575085262,1.411414171832609,-0.9432858415570219,-0.37009821990542763,-0.4855398859811821,-0.423222102636189,-0.07238429869040221,-0.3143393578320472,0.033958560376009424,0.5205674522762567
SEACell-100,-0.1498189196980953,4.872627470744182,0.5696129849132325,0.419508724697481,-1.77322249720427,0.11709135757638683,-0.39027417037403866,-0.15455141507597184,-0.38287386869155904,-0.38306344579449647,0.41021574525022775,0.11795273124819008,0.028723728685391935,-0.44923408751590127,0.2249046623431034
SEACell-101,-1.0842162975395342,-0.7776231516392715,3.251826486267279,-1.9535582348876683,-3.9912512284925374,0.6492019106986923,-1.094339411435171,1.7022912736204394,0.7386623160938491,1.7169881015899298,-0.42917114103370163,0.16663581210443268,-0.3006954668973511,0.5038453994901997,0.6223145974769958
SEACell-102,-1.9328652617375934,-1.2546549043855895,-3.5317366349225434,0.8461831924693884,2.216577890605672,0.39239207244649316,-0.8571733177101768,0.3235979578340717,0.037995314994174224,-0.1911592387998523,-0.19829940092885884,-0.06560330853172607,0.20435809153466572,0.1917380001427786,0.23363387426696816
SEACell-103,0.20208025609654798,3.5327427175242025,-0.5316433094609061,-2.453851422398856,3.5643579563605634,-0.9307890359933007,1.0588786325814645,0.02694294345165932,0.6017318752221992,0.567462948415253,-0.2141435230266485,-0.3041217436596392,-0.12137268663124869,0.0012541676000519908,-0.14445241991020205
SEACell-104,-0.1874442484511243,5.188789354542875,0.5787630551659874,0.09818374746106188,-2.3568745042656665,0.4976186387255282,-1.0927124458047568,-0.10574171636404198,-0.553932944108039,-0.3065111119021151,-0.17026914197008328,0.022174792164376393,-0.2677987071412311,0.4015904050205246,-0.13650856945630077
SEACell-105,-2.223000246167786,-0.86305141161966,-2.9517537346567533,1.9502624130821706,-0.5642670216304327,0.04504849905390673,-0.17878499889080443,0.43460713919482574,0.31626165684501595,0.13229577007825788,0.03109427627690001,0.011200675466225421,0.029719364487094595,-0.264527335087412,0.0499430118565594
SEACell-106,-1.1885612215125743,-0.7386638925851762,3.465651459395206,-2.386452650746549,-3.8319328171146863,0.715153143887507,-1.0974761230721362,1.7576519697313315,0.8557945682040209,1.3672273379167104,-0.17873124574565497,0.06054754962969858,0.158264479088451,0.2253678299299289,0.25310049844240745
SEACell-107,-1.1483366797892134,-1.8789237865650703,2.118949127420929,-1.4948347923743825,1.989505262108214,-0.3866862117725149,-0.3235797905606407,-2.048532665019346,-2.070438862310564,0.19976464692261509,-0.1959573131495271,-0.25447901659752525,0.3412563207306735,-0.10642444037699378,0.1730997027170864
SEACell-108,4.992930626494087,-1.4542482523036915,-1.417084707232427,-0.37057665150635755,-0.5340083084565176,0.13917953856259085,-0.5435516078581114,-0.8461717875295377,0.8255675633377362,-0.158024783233229,-0.08563482284567277,0.04047082932615163,0.4391599866085566,-0.19056987113478993,-0.05908876025674076
SEACell-109,-1.779283830850086,-1.2259489327233435,-0.2667985736290815,-0.25977472082905184,-3.262144381191211,-1.207622810569759,1.9721997799074462,-0.4113182705367821,0.37436002090791476,-0.6207285906888004,-0.04408598302934193,0.03924622390099887,-0.49078535027411996,-0.19031590327056858,0.14600661758670277
SEACell-11,-1.5223528654188698,-1.5986312116705228,1.694055687691805,-2.9266682152732337,-1.0588031801608568,-0.44238345290974374,0.3485861241338834,-1.0363799004723764,-0.9116876150671984,-0.04514822810607859,0.4352799328893919,0.06052517015980002,0.3108340606158975,-0.1915784011455475,-0.6249660037456144
SEACell-110,-1.4940572628307882,-1.7015906881551741,0.7132569491126143,-2.5438155212854365,0.6522319135453462,-0.349757914872111,-0.17246841982388475,-1.1306405373865143,-0.9917466354165151,-0.11688686617501456,0.2692504035708696,-0.08935241529656465,0.4209287290559698,0.15775463597592435,-0.3571813147052208
SEACell-111,-0.19851315737223163,4.343964885397041,-0.08472450915132156,-0.2245840757668427,-0.5603698645490541,-0.6422209861550282,0.6039158102711096,-0.10578179310589075,0.5433517503331468,1.0413392640718746,-0.27262701406269113,-0.03802025241297098,-0.2981753393322104,0.6594042064049416,0.012329446878173791
