,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,-0.6089938637869992,-0.9870220646934859,2.048721134741328,3.135473953006267,-1.9610936074994516,-0.00969619947667998,0.0016223295174645487,0.5209203629179594,-0.004798544654656303,-0.523625109624104,-0.1617989217499271,-0.03521151085818803,0.14025391499985593,0.10044453247769636,0.07233112387567088
1,1.511644696863163,4.831392253532881,-1.4514642243548401,-0.049289545241022026,0.27592201674660094,-0.39080624427974126,-0.05220476439606477,-0.011010290069760129,-0.09382648236897038,0.09234156261951747,-0.17563902862390884,-0.04604138677012937,0.18591462660847255,-0.27505173042871567,-0.1728364236214544
10,-2.248249467971834,-1.128246665791104,-1.7527417940776926,-0.30365830934435056,0.6909171384443638,0.3675602920829694,0.030397102938156766,-0.1315257058248547,-0.24731344174843872,0.3336322460397438,-0.1019201451501166,0.10888593764530932,0.05060695427600974,-0.01055332392874873,0.06366827696316164
100,1.245918559944048,0.49904398816332696,4.052722136037091,1.1609547382092333,3.254790697517521,2.78574510065191,0.2551444904944239,-1.318515339347765,0.16773396166604795,-0.4725214389943373,0.15963046541322112,-0.167573723133027,0.019566498517711608,0.4168662213050211,0.5357079772022113
101,1.693151245654701,4.614605712601492,-1.283862423904767,1.3619786108126235,0.06503654261243849,0.18283916788361665,-0.034904811773099224,-0.21802804350633245,0.07119700597238635,-0.0168679213703317,-0.8811664723136221,-0.02395847312971041,0.058323427694669534,-0.36443705807021254,0.003990687114930224
102,5.42990930680258,-2.187417465140347,-0.590061461452828,-2.2667970365789043,-0.17847917686047302,0.3128175889552422,0.7916550759360411,0.20801524470119648,-2.3013276998108063,-0.13913007411856795,0.09150054543209214,0.2342661610798867,-0.36628328897051016,0.0007665729772977873,0.14421592906556255
103,-1.9526118926148828,-0.9030623054003832,-1.08380498047073,1.0750460821449734,0.29930509388941295,1.944350403772922,-0.08132915110544763,1.2919478238737017,-0.010059289200548301,-1.1279661177291587,-0.018297294033233498,-0.0033713965793049985,0.2243827912125143,0.0635662849682959,-0.30563963239215125
104,5.930496024621158,-3.1881001305892447,-1.084729277232063,-0.8155332846480685,-0.12954934109268013,-0.016269564093191698,0.18679770543950178,0.02459609039760686,-0.8237967919202611,0.10119319705237269,-0.025093992016390114,0.6711988021510071,0.2666788703245842,-0.008823014828419785,-0.1081780113427261
105,0.0863652030904362,-0.2217804260178675,4.028355177159553,2.7545716702640552,-2.4491265542326515,0.722557013211885,-0.04917389732649818,2.110324707290775,0.0065716815802476505,0.5493659320452765,0.07209131461927355,-0.053632887432467094,0.21329901124321154,-0.05328814201388305,0.2580566502264134
106,1.6961873799510416,5.273139797291862,-1.0312024136329305,-0.6259496750826783,0.11822004460618823,-0.02900225083633105,-0.12827259137496264,0.048098193570188984,0.11008478450871925,-0.16786617216054361,-0.6923091085577975,0.05089413756311467,-0.3099200197318445,-0.4453977055905152,0.242593807485831
107,-1.9299773939069746,0.055475437992414146,-0.24431033673161517,-3.854894902348908,-0.6575794037589273,1.0951046090926366,0.032206730190749384,-0.2740781691866399,-0.133411258645365,0.5061684617147922,0.03878743145710533,0.0519835302496019,0.42053769054886286,-0.07422611427997773,-0.04501304425962875
108,-2.0961462569528644,-0.5264995562323778,-0.9718051002482759,-2.5841677652963093,-0.25005619050883915,0.09928172745054747,-0.027898204488150294,-0.2160498152772119,0.03190589896114271,0.5225485407831345,-0.1422477903292651,-0.019409338859462544,0.21708021762583862,-0.0931382311705253,-0.04489854867147752
109,-2.0109652253945156,-1.6082713750741566,-1.5083488558229574,2.0824745613740596,-0.11041988811966107,-0.6655014635213378,-0.0428505940850186,-0.6292442133404331,-0.24236088745906662,-0.050048250096525866,0.0582164685943333,0.021693152899689625,0.010647308609465394,0.06573050521959638,0.14227719131672698
