stage,wall_time_seconds,cpu_rss_start_bytes,cpu_rss_end_bytes,cpu_rss_peak_bytes,gpu_allocated_peak_bytes,gpu_reserved_peak_bytes,status,error_type,error_message
resource_preflight,0.06413589417934418,570740736,676925440,676925440,0,0,PASS,,
subset_materialization,1.194252799730748,676925440,702152704,877182976,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,0.9532635719515383,707473408,922484736,1419083776,0,0,PASS,,
anchor_initialization_before_warmup,0.2785647204145789,943263744,1041395712,1041395712,57154560,62914560,PASS,,
warmup_and_full_training,5.393148199655116,1041432576,1585053696,1585086464,217082368,236978176,PASS,,
inference,0.8684364301152527,1585119232,1586130944,1597550592,221693952,299892736,PASS,,
same_checkpoint_inference_stability,0.0010449066758155823,1589522432,1589522432,1589522432,128624640,299892736,PASS,,
common_evaluation,0.08585517667233944,1589522432,1590284288,1590284288,128624640,299892736,PASS,,
metacell_aggregation,0.0671197921037674,1590284288,1628127232,1628127232,128624640,299892736,PASS,,
