dataset,seed,implementation_tag,reference,inference_batch_size,cell_order_seed,cell_order,realized_K,wall_time_seconds,peak_gpu_allocated_bytes,n_cells,ARI,NMI,VI_nats,coassignment_agreement_rand
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,193,4.434694895520806,418774528,9631,0.7007411453540655,0.8650838419758754,1.4054196000315073,0.9966915204266942
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1701,permuted,193,5.518336759880185,418774528,9631,0.6544030057552734,0.8438867110290923,1.6260947380158424,0.9961764175975101
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1702,permuted,193,5.343126837164164,418774528,9631,0.6573073586705082,0.8452787419707017,1.6114974272413587,0.9962049038384508
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1703,permuted,193,5.665777037851512,418774528,9631,0.6559994123119531,0.8452707326483718,1.611761680055972,0.9961943805336976
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1704,permuted,193,5.322003358975053,418774528,9631,0.660192038036233,0.8470449735075255,1.5928327449604858,0.9962330019247081
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1705,permuted,193,5.432323459535837,418774528,9631,0.6583782202944289,0.8461460291740003,1.602304879438531,0.9962146939621352
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1706,permuted,193,5.33800579700619,418774528,9631,0.6611195389195972,0.8473706553477469,1.5896789205129433,0.9962480968290673
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1707,permuted,193,5.386185850948095,418774528,9631,0.665910477938694,0.849942736325703,1.5629952802349578,0.9963021797149716
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1708,permuted,193,5.185002211481333,418774528,9631,0.6660424741089847,0.848687332206649,1.5763169723319344,0.9963092311917222
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1709,permuted,193,4.964954110793769,418774528,9631,0.656261642030987,0.8456098009842145,1.6081925350264328,0.9961981758239364
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1710,permuted,193,5.291304236277938,418774528,9631,0.6548028941532029,0.8445060867092138,1.619455850983531,0.9961767194955973
D11,0,instrumented_legacy,legacy_eval_loader_assignment,512,-1,canonical,193,3.9026813050732017,488390144,9631,0.7789239298751977,0.8999895470569622,1.041952731623219,0.9975583560915972
D11,0,instrumented_legacy,legacy_eval_loader_assignment,512,1701,permuted,193,5.256487131118774,488390144,9631,0.6804800313724861,0.8540033384337129,1.520777602771565,0.9964658731706728
D11,0,instrumented_legacy,legacy_eval_loader_assignment,512,1702,permuted,193,5.196207772009075,488390144,9631,0.6710991444114013,0.8523223841495575,1.5382784383396473,0.9963612439193142
D11,0,instrumented_legacy,legacy_eval_loader_assignment,512,1703,permuted,193,5.0476388419047,488390144,9631,0.6744329247949299,0.8533014292344918,1.5281256309208153,0.9963987655387215
D11,0,instrumented_legacy,legacy_eval_loader_assignment,512,1704,permuted,193,5.120357020758092,488390144,9631,0.6704516887949005,0.8519930928922003,1.5416439838994602,0.996353286748302
D11,0,instrumented_legacy,legacy_eval_loader_assignment,512,1705,permuted,193,5.123371839523315,488390144,9631,0.6794465340274467,0.8555492248294644,1.5046707677952629,0.9964538403754836
D11,0,instrumented_legacy,legacy_eval_loader_assignment,512,1706,permuted,193,5.378992491401732,488390144,9631,0.6782036071299511,0.8544312006833821,1.5162458362524625,0.9964396511653859
D11,0,instrumented_legacy,legacy_eval_loader_assignment,512,1707,permuted,193,5.262452247552574,488390144,9631,0.6872267058224318,0.8580075567916838,1.479015383894005,0.9965389756360696
D11,0,instrumented_legacy,legacy_eval_loader_assignment,512,1708,permuted,193,5.334179501980543,488390144,9631,0.6774899592053399,0.8530699431781309,1.5307577762749265,0.9964377319561174
D11,0,instrumented_legacy,legacy_eval_loader_assignment,512,1709,permuted,193,5.489736278541386,488390144,9631,0.6788539219136636,0.8549789915533782,1.5105998646726277,0.9964481474401252
D11,0,instrumented_legacy,legacy_eval_loader_assignment,512,1710,permuted,193,5.174987595528364,488390144,9631,0.685109055738971,0.8590756544143748,1.4681358825760888,0.9965202363905151
D11,0,instrumented_legacy,legacy_eval_loader_assignment,1024,-1,canonical,193,4.453232683241367,629718528,9631,1.0,1.0,0.0,1.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,1024,1701,permuted,193,4.875546402297914,629718528,9631,0.6992112015567066,0.8630808033340427,1.4259812652803898,0.9966678645551483
D11,0,instrumented_legacy,legacy_eval_loader_assignment,1024,1702,permuted,193,5.096578194759786,629718528,9631,0.6921924188321162,0.8605797417411097,1.4523974846594925,0.9965978888913688
D11,0,instrumented_legacy,legacy_eval_loader_assignment,1024,1703,permuted,193,5.4380399119108915,629718528,9631,0.6876458120031445,0.8595408301869684,1.4632500933322135,0.9965475366032562
D11,0,instrumented_legacy,legacy_eval_loader_assignment,1024,1704,permuted,193,5.158771144226193,629718528,9631,0.6891668159016764,0.8598675876712807,1.460013729470706,0.9965676559543521
D11,0,instrumented_legacy,legacy_eval_loader_assignment,1024,1705,permuted,193,5.163137989118695,629718528,9631,0.6964930583166575,0.8624021636620537,1.43344348104951,0.996645610353293
D11,0,instrumented_legacy,legacy_eval_loader_assignment,1024,1706,permuted,193,5.00603623688221,629718528,9631,0.6914284922371542,0.8604952150911073,1.4532373092853756,0.9965886163072624
D11,0,instrumented_legacy,legacy_eval_loader_assignment,1024,1707,permuted,193,5.05349896941334,629718528,9631,0.6927400355263019,0.8604005247021644,1.454426802967177,0.9966072046037733
D11,0,instrumented_legacy,legacy_eval_loader_assignment,1024,1708,permuted,193,5.27826120890677,629718528,9631,0.6971789828135481,0.8622102677599541,1.435521662381566,0.9966550123222939
D11,0,instrumented_legacy,legacy_eval_loader_assignment,1024,1709,permuted,193,4.871981423348188,629718528,9631,0.6931503459645455,0.8604995821878828,1.4532502084058194,0.9966086925300601
D11,0,instrumented_legacy,legacy_eval_loader_assignment,1024,1710,permuted,193,4.983798279426992,629718528,9631,0.7030981849179787,0.8659276058690065,1.396929536169134,0.9967227453145686
D11,0,instrumented_legacy,legacy_eval_loader_assignment,2048,-1,canonical,193,4.2565872790291905,910425600,9631,0.7891779206440008,0.9047923309514542,0.9920461289652902,0.9976738752382435
D11,0,instrumented_legacy,legacy_eval_loader_assignment,2048,1701,permuted,193,5.0348110888153315,910425600,9631,0.7042419029906676,0.8659663677750522,1.3961875318122807,0.996728697019716
D11,0,instrumented_legacy,legacy_eval_loader_assignment,2048,1702,permuted,193,5.153563875705004,910425600,9631,0.7128358797336,0.8703254787481297,1.3510974998785716,0.9968299622638173
D11,0,instrumented_legacy,legacy_eval_loader_assignment,2048,1703,permuted,193,4.70087765250355,910425600,9631,0.7035545635942498,0.8657187981047593,1.3991653542779208,0.9967290851743995
D11,0,instrumented_legacy,legacy_eval_loader_assignment,2048,1704,permuted,193,4.586280718445778,910425600,9631,0.7081477247507311,0.86816211635469,1.373644064213348,0.996778122049418
D11,0,instrumented_legacy,legacy_eval_loader_assignment,2048,1705,permuted,193,4.788794694468379,910425600,9631,0.7095223377136128,0.8681294014224527,1.3739270256566858,0.9967938854423988
D11,0,instrumented_legacy,legacy_eval_loader_assignment,2048,1706,permuted,193,4.859914001077414,910425600,9631,0.7075145651607521,0.8678695952218208,1.3765822623843569,0.9967696042105295
