dataset,method,target_cell_type,target_abundance,n_seeds,support,realized_abundance_mean,realized_abundance_sd,realized_K_mean,realized_K_sd,cell_precision_mean,cell_precision_sd,cell_recall_mean,cell_recall_sd,cell_f1_mean,cell_f1_sd,purity_unweighted_mean,purity_unweighted_sd,purity_weighted_mean,purity_weighted_sd,majority_retention_mean,majority_retention_sd,high_purity_recovery_mean,high_purity_recovery_sd,nonzero_f1_runs,majority_retention_runs,high_purity_recovery_runs
D18,GARQ,Platelets,0.002,5,4,0.002,0.0,38.6,1.1401754250991387,0.2,0.447213595499958,0.05,0.1118033988749895,0.08,0.1788854381999832,1.0,,1.0,,0.05,0.1118033988749895,0.05,0.1118033988749895,1,1,1
D5,GARQ,Non classical monocytes,0.001,5,2,0.001,0.0,37.6,1.51657508881031,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D5,GARQ,Non classical monocytes,0.002,5,4,0.002,0.0,37.8,0.8366600265340751,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D5,GARQ,Non classical monocytes,0.005,5,10,0.005,0.0,37.6,2.302172886644267,0.2,0.447213595499958,0.02,0.0447213595499958,0.03636363636363636,0.08131156281817416,1.0,,1.0,,0.06666666666666667,0.14907119849998596,0.06666666666666667,0.14907119849998596,1,1,1
D5,GARQ,Non classical monocytes,0.01,5,20,0.01,0.0,39.4,0.5477225575051652,0.15250965250965248,0.20952839461336115,0.2,0.32596012026013244,0.16408668730650153,0.23921292597005395,0.38127413127413123,0.034126775153790916,0.38127413127413123,0.034126775153790916,0.0,0.0,0.0,0.0,2,0,0
D5,GARQ,Non classical monocytes,0.02,5,40,0.02,0.0,38.4,2.0736441353327724,0.13999999999999999,0.31304951684997057,0.034999999999999996,0.07826237921249264,0.05599999999999998,0.12521980673998817,0.7083333333333333,,0.7,,0.13333333333333333,0.2981423969999719,0.06666666666666667,0.14907119849998596,1,1,1
D5,GARQ,Regulatory T cells,0.001,5,2,0.001,0.0,38.6,1.1401754250991378,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D5,GARQ,Regulatory T cells,0.002,5,4,0.002,0.0,39.0,0.7071067811865472,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D5,GARQ,Regulatory T cells,0.005,5,10,0.005,0.0,36.4,2.073644135332772,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D5,GARQ,conventional DC,0.001,5,2,0.001,0.0,38.8,1.3038404810405289,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D5,GARQ,conventional DC,0.002,5,4,0.002,0.0,38.6,0.8944271909999157,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D5,GARQ,conventional DC,0.005,5,10,0.005,0.0,39.2,0.8366600265340751,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D5,GARQ,gdT cells,0.001,5,2,0.001,0.0,39.0,1.2247448713915892,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D5,GARQ,gdT cells,0.002,5,4,0.002,0.0,38.6,0.8944271909999157,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D5,GARQ,gdT cells,0.005,5,10,0.005,0.0,38.0,1.224744871391589,0.2,0.4472135954999579,0.02,0.0447213595499958,0.03636363636363636,0.08131156281817416,1.0,,1.0,,0.04,0.0894427190999916,0.04,0.0894427190999916,1,1,1
D5,GARQ,gdT cells,0.01,5,20,0.01,0.0,38.0,0.7071067811865476,0.2,0.4472135954999579,0.02,0.0447213595499958,0.03636363636363636,0.08131156281817416,1.0,,1.0,,0.02222222222222222,0.049690399499995326,0.02222222222222222,0.049690399499995326,1,1,1
D5,GARQ,gdT cells,0.02,5,40,0.02,0.0,37.8,1.7888543819998308,0.23663663663663664,0.3497525287054267,0.11000000000000001,0.16639561292293736,0.13506493506493505,0.18855783286110686,0.5915915915915916,0.26330702963102676,0.5915915915915916,0.26330702963102676,0.02222222222222222,0.04969039949999532,0.02222222222222222,0.04969039949999532,2,1,1
