dataset,method,seed,subset_seed,target_cell_type,source_abundance,target_abundance,realized_abundance,support,requested_K,realized_K,cell_precision,cell_recall,cell_f1,purity_unweighted,purity_weighted,majority_retention,high_purity_recovery,run_id
D5,GARQ,0,647067,MAIT-NKT cells,0.044867358708189156,0.002,0.002,4,40,38,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_MAIT-NKT-cells_abundance_0.002_broad_seed0_v1-f3e8aa7a8e5f
D5,GARQ,0,223168,MAIT-NKT cells,0.044867358708189156,0.005,0.005,10,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_MAIT-NKT-cells_abundance_0.005_broad_seed0_v1-aa5fac12495a
D5,GARQ,0,147172,MAIT-NKT cells,0.044867358708189156,0.01,0.01,20,40,40,0.75,0.15,0.2499999999999999,0.75,0.75,0.1428571428571428,0.1428571428571428,E1_D5_rare_MAIT-NKT-cells_abundance_0.01_broad_seed0_v1-6da7a89df5b8
D5,GARQ,0,125420,Memory B,0.0209919261822376,0.002,0.002,4,40,36,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_Memory-B_abundance_0.002_broad_seed0_v1-87699190d761
D5,GARQ,0,577929,Memory B,0.0209919261822376,0.005,0.005,10,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_Memory-B_abundance_0.005_broad_seed0_v1-d35f8f29af32
D5,GARQ,0,487071,Memory B,0.0209919261822376,0.01,0.01,20,40,38,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_Memory-B_abundance_0.01_broad_seed0_v1-884901bf4b42
D5,GARQ,0,517074,NK-T doublets,0.018108419838523643,0.002,0.002,4,40,33,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_NK-T-doublets_abundance_0.002_broad_seed0_v1-cc3780825920
D5,GARQ,0,745724,NK-T doublets,0.018108419838523643,0.005,0.005,10,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_NK-T-doublets_abundance_0.005_broad_seed0_v1-2950232daebf
D5,GARQ,0,415310,NK-T doublets,0.018108419838523643,0.01,0.01,20,40,39,0.4,0.2,0.2666666666666666,0.4,0.4,0.0,0.0,E1_D5_rare_NK-T-doublets_abundance_0.01_broad_seed0_v1-4ee403a11feb
D5,GARQ,0,490243,NK-monocyte doublets,0.0132641291810842,0.002,0.002,4,40,38,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_NK-monocyte-doublets_abundance_0.002_broad_seed0_v1-f891e8014df6
