step,usage_sum,usage_min,usage_median,usage_max,scheduled_long_update_anchor_count,effective_displacement_anchor_count,all_anchors_displaced,displacement_min,displacement_max,local_branch_condition
1,0.10000000149011612,0.008333333767950535,0.01666666753590107,0.02500000037252903,6,6,True,1.1057022675231565e-06,0.026582028716802597,False
2,0.1899999976158142,0.015833333134651184,0.03166666626930237,0.04749999940395355,6,1,False,0.0,0.00024960251175798476,False
3,0.2709999978542328,0.022583331912755966,0.04516666382551193,0.0677499994635582,6,1,False,0.0,6.241150003916118e-06,False
4,0.3438999652862549,0.02865833044052124,0.05731666088104248,0.08597499877214432,6,1,False,0.0,2.980232238769531e-07,False
5,0.4095099866390228,0.034125830978155136,0.06825166195631027,0.1023774966597557,6,0,False,0.0,0.0,False
6,0.46855899691581726,0.03904658183455467,0.07809316366910934,0.11713974177837372,6,0,False,0.0,0.0,False
7,0.5217030644416809,0.043475255370140076,0.08695051074028015,0.13042576611042023,6,0,False,0.0,0.0,False
8,0.5695327520370483,0.04746106266975403,0.09492212533950806,0.14238318800926208,6,0,False,0.0,0.0,False
9,0.6125794053077698,0.05104828625917435,0.1020965725183487,0.15314486622810364,6,0,False,0.0,0.0,False
10,0.651321530342102,0.05427679046988487,0.10855358093976974,0.1628303825855255,6,0,False,0.0,0.0,False
11,0.6861892938613892,0.057182442396879196,0.11436488479375839,0.17154735326766968,6,0,False,0.0,0.0,False
12,0.7175703644752502,0.05979752913117409,0.11959505826234818,0.17939262092113495,6,0,False,0.0,0.0,False
13,0.7458133101463318,0.06215110793709755,0.1243022158741951,0.18645335733890533,6,0,False,0.0,0.0,False
14,0.771232008934021,0.06426933407783508,0.12853866815567017,0.19280801713466644,6,0,False,0.0,0.0,False
15,0.7941088080406189,0.06617573648691177,0.13235147297382355,0.19852721691131592,6,0,False,0.0,0.0,False
16,0.8146978616714478,0.06789149343967438,0.13578298687934875,0.20367449522018433,6,0,False,0.0,0.0,False
17,0.8332281708717346,0.06943567842245102,0.13887135684490204,0.20830704271793365,6,0,False,0.0,0.0,False
18,0.8499053716659546,0.07082544267177582,0.14165088534355164,0.21247634291648865,6,0,False,0.0,0.0,False
19,0.8649147748947144,0.0720762312412262,0.1441524624824524,0.21622870862483978,6,0,False,0.0,0.0,False
20,0.8784233331680298,0.07320193946361542,0.14640387892723083,0.21960583329200745,6,0,False,0.0,0.0,False
21,0.890580952167511,0.07421507686376572,0.14843015372753143,0.22264525294303894,6,0,False,0.0,0.0,False
22,0.9015227556228638,0.07512690126895905,0.1502538025379181,0.22538073360919952,6,0,False,0.0,0.0,False
23,0.911370575428009,0.07594754546880722,0.15189509093761444,0.22784265875816345,6,0,False,0.0,0.0,False
24,0.920233428478241,0.07668612152338028,0.15337224304676056,0.23005838692188263,6,0,False,0.0,0.0,False
25,0.9282101392745972,0.07735083997249603,0.15470167994499207,0.23205254971981049,6,0,False,0.0,0.0,False
26,0.9353890419006348,0.07794908434152603,0.15589816868305206,0.23384729027748108,6,0,False,0.0,0.0,False
27,0.9418501853942871,0.07848750799894333,0.15697501599788666,0.23546256124973297,6,0,False,0.0,0.0,False
28,0.9476650953292847,0.07897208631038666,0.15794417262077332,0.23691630363464355,6,0,False,0.0,0.0,False
29,0.9528985023498535,0.0794082060456276,0.1588164120912552,0.23822467029094696,6,0,False,0.0,0.0,False
30,0.957608699798584,0.07980071753263474,0.15960143506526947,0.23940220475196838,6,0,False,0.0,0.0,False
31,0.9618477821350098,0.08015397936105728,0.16030795872211456,0.24046199023723602,6,0,False,0.0,0.0,False
32,0.965662956237793,0.08047191053628922,0.16094382107257843,0.24141579866409302,6,0,False,0.0,0.0,False
33,0.9690966606140137,0.08075805008411407,0.16151610016822815,0.2422742247581482,6,0,False,0.0,0.0,False
