step,usage_sum,usage_min,usage_median,usage_max,scheduled_long_update_anchor_count,effective_displacement_anchor_count,all_anchors_displaced,displacement_min,displacement_max,local_branch_condition
58,0.9977812170982361,0.08314842730760574,0.1662968546152115,0.24944539368152618,6,0,False,0.0,0.0,False
59,0.9980030059814453,0.08316691219806671,0.16633382439613342,0.24950085580348969,6,0,False,0.0,0.0,False
60,0.9982027411460876,0.08318354934453964,0.16636709868907928,0.24955077469348907,6,0,False,0.0,0.0,False
61,0.9983823895454407,0.08319852501153946,0.16639705002307892,0.24959570169448853,6,0,False,0.0,0.0,False
62,0.9985442161560059,0.0832120031118393,0.1664240062236786,0.24963612854480743,6,0,False,0.0,0.0,False
63,0.9986896514892578,0.08322413265705109,0.16644826531410217,0.2496725171804428,6,0,False,0.0,0.0,False
64,0.9988207221031189,0.08323504775762558,0.16647009551525116,0.2497052699327469,6,0,False,0.0,0.0,False
65,0.9989385604858398,0.08324487507343292,0.16648975014686584,0.24973474442958832,6,0,False,0.0,0.0,False
66,0.9990447163581848,0.08325371891260147,0.16650743782520294,0.24976126849651337,6,0,False,0.0,0.0,False
67,0.999140202999115,0.08326167613267899,0.16652335226535797,0.2497851401567459,6,0,False,0.0,0.0,False
68,0.9992260932922363,0.08326883614063263,0.16653767228126526,0.24980662763118744,6,0,False,0.0,0.0,False
69,0.9993035197257996,0.08327528089284897,0.16655056178569794,0.24982596933841705,6,0,False,0.0,0.0,False
70,0.999373197555542,0.08328108489513397,0.16656216979026794,0.24984337389469147,6,0,False,0.0,0.0,False
71,0.9994358420372009,0.08328630775213242,0.16657261550426483,0.2498590350151062,6,0,False,0.0,0.0,False
72,0.9994921684265137,0.08329100906848907,0.16658201813697815,0.24987313151359558,6,0,False,0.0,0.0,False
73,0.9995429515838623,0.08329524099826813,0.16659048199653625,0.24988581240177155,6,0,False,0.0,0.0,False
74,0.9995886087417603,0.08329904824495316,0.1665980964899063,0.24989722669124603,6,0,False,0.0,0.0,False
75,0.9996297359466553,0.08330247551202774,0.16660495102405548,0.2499075084924698,6,0,False,0.0,0.0,False
76,0.9996668100357056,0.08330556005239487,0.16661112010478973,0.24991676211357117,6,0,False,0.0,0.0,False
77,0.999700129032135,0.08330833166837692,0.16661666333675385,0.24992509186267853,6,0,False,0.0,0.0,False
78,0.999730110168457,0.08331082761287689,0.16662165522575378,0.24993258714675903,6,0,False,0.0,0.0,False
79,0.9997570514678955,0.08331307768821716,0.16662615537643433,0.24993932247161865,6,0,False,0.0,0.0,False
80,0.9997813701629639,0.08331510424613953,0.16663020849227905,0.24994538724422455,6,0,False,0.0,0.0,False
81,0.9998031854629517,0.08331692218780518,0.16663384437561035,0.2499508559703827,6,0,False,0.0,0.0,False
82,0.9998228549957275,0.0833185613155365,0.166637122631073,0.24995577335357666,6,0,False,0.0,0.0,False
83,0.999840497970581,0.08332003653049469,0.16664007306098938,0.24996019899845123,6,0,False,0.0,0.0,False
84,0.9998564720153809,0.08332136273384094,0.16664272546768188,0.24996417760849,6,0,False,0.0,0.0,False
85,0.999870777130127,0.08332255482673645,0.1666451096534729,0.2499677538871765,6,0,False,0.0,0.0,False
86,0.9998836517333984,0.08332362771034241,0.16664725542068481,0.24997097253799438,6,0,False,0.0,0.0,False
87,0.9998953342437744,0.08332459628582001,0.16664919257164001,0.24997387826442719,6,0,False,0.0,0.0,False
88,0.9999057054519653,0.08332546800374985,0.1666509360074997,0.2499764859676361,6,5,False,0.0,0.0031572270672768354,True
89,0.9999151229858398,0.08332625031471252,0.16665250062942505,0.24997884035110474,6,5,False,0.0,0.004242090042680502,True
90,0.999923586845398,0.08332695811986923,0.16665391623973846,0.24998095631599426,6,5,False,0.0,0.0037805300671607256,True
91,0.9999312162399292,0.08332759141921997,0.16665518283843994,0.24998286366462708,6,5,False,0.0,0.003775740275159478,True
92,0.9999380111694336,0.08332816511392593,0.16665633022785187,0.24998457729816437,6,5,False,0.0,0.002507460070773959,True
93,0.9999442100524902,0.08332867920398712,0.16665735840797424,0.24998612701892853,6,5,False,0.0,0.0025042283814400434,True
94,0.9999498128890991,0.08332914113998413,0.16665828227996826,0.24998751282691956,6,5,False,0.0,0.002827115822583437,True
95,0.9999548196792603,0.08332955837249756,0.16665911674499512,0.24998876452445984,6,5,False,0.0,0.003765084082260728,True
96,0.9999592304229736,0.0833299309015274,0.1666598618030548,0.24998988211154938,6,5,False,0.0,0.004216489382088184,True
97,0.9999633431434631,0.08333026617765427,0.16666053235530853,0.24999089539051056,6,5,False,0.0,0.0028078884351998568,True
98,0.9999669790267944,0.08333057165145874,0.16666114330291748,0.24999180436134338,6,5,False,0.0,0.004209276754409075,True
99,0.9999701976776123,0.08333084732294083,0.16666169464588165,0.24999262392520905,6,5,False,0.0,0.004584988113492727,True
100,0.9999732971191406,0.08333109319210052,0.16666218638420105,0.24999336898326874,6,5,False,0.0,0.0016279079718515277,True
