dataset,seed,modality_combination,data_type,block_dim,l2_norm_mean,l2_norm_median,l2_norm_p95,variance_trace,variance_per_dim_mean,pairwise_squared_distance_energy,sampled_pair_mean_abs_dot,normalization_before_concat,modality_weight,relative_abs_dot_contribution
D18,3,RNA+ATAC+ADT,RNA,32,5.676963806152344,5.677892684936523,5.689719247817993,29.453676223754883,0.9204273819923401,58.907352447509766,11.034857749938965,False,1.0,0.26131211217068023
D18,3,RNA+ATAC+ADT,ATAC,32,5.680485248565674,5.685376167297363,5.700543165206909,18.798076629638672,0.5874398946762085,37.596153259277344,15.734309196472168,False,1.0,0.3725979675360511
D18,3,RNA+ATAC+ADT,ADT,32,5.716804504394531,5.720067024230957,5.7446376323699955,17.256000518798828,0.5392500162124634,34.512001037597656,15.45948314666748,False,1.0,0.36608992029326864
