dataset,condition,perturbed_modality,perturbation_kind,retention_probability,seed,requested_K,realized_K,empty_anchor_count,size_median,size_max,size_gini,macro_f1,macro_precision,macro_recall,mean_weighted_purity,n_cells,ARI,NMI,VI_nats,coassignment_agreement_rand,wall_seconds,peak_cpu_rss_bytes,source_dir
D18,RNA_thin_0.25,RNA,binomial_thinning,0.25,0,510,487,23,46.0,3126.0,0.3654922969178095,0.7317048098548932,0.7540093068771793,0.7264120063837128,0.8225556075023774,25517,0.039988807329401924,0.5089189875214492,5.733827865511898,0.9803340534304894,2770.4805977344513,82857979904,revision_results/phase2/02_modality/noise_full_retry1/D18/RNA_thin_0.25/seed0
D18,RNA_thin_0.25,RNA,binomial_thinning,0.25,1,510,494,16,48.0,1044.0,0.3257075262518486,0.6709367494098721,0.6802799552270723,0.6791841477494464,0.8163359462724868,25517,0.06616679768236261,0.515097435519706,5.815587343914645,0.9926428251653593,2886.7260015010834,82860769280,revision_results/phase2/02_modality/noise_full_retry1/D18/RNA_thin_0.25/seed1
D18,RNA_thin_0.25,RNA,binomial_thinning,0.25,2,510,489,21,47.0,1232.0,0.3219472835504106,0.6949058662905209,0.8012401646650518,0.6653519575137662,0.8740801796346019,25517,0.30242842437085937,0.5077016116087503,5.7998541149667915,0.9927876281010659,2723.014364719391,82810060800,revision_results/phase2/02_modality/noise_full_retry1/D18/RNA_thin_0.25/seed2
D18,RNA_thin_0.5,RNA,binomial_thinning,0.5,0,510,500,10,47.0,742.0,0.2858443390680723,0.7145866940105458,0.7549334244472655,0.6947032037506903,0.8235637357606532,25517,0.11655328603827855,0.513069116924199,5.875893792933949,0.9944588333701136,2773.2802734375,82744373248,revision_results/phase2/02_modality/noise_full_retry1/D18/RNA_thin_0.5/seed0
D18,RNA_thin_0.5,RNA,binomial_thinning,0.5,1,510,496,14,47.0,1268.0,0.3447650175025631,0.6851040961537661,0.7147225553095674,0.6690523849293131,0.8576670663714809,25517,0.05774747979891548,0.5131773586444661,5.817540121805175,0.99153404445111,2805.0151648521423,82771120128,revision_results/phase2/02_modality/noise_full_retry1/D18/RNA_thin_0.5/seed1
D18,RNA_thin_0.5,RNA,binomial_thinning,0.5,2,510,501,9,46.0,1617.0,0.3308647039502528,0.6706529674391953,0.7125656573619509,0.6481841667956127,0.8550787888343411,25517,0.07357881819872981,0.5103475152095712,5.76214312883726,0.989126095115206,2751.330822467804,82771857408,revision_results/phase2/02_modality/noise_full_retry1/D18/RNA_thin_0.5/seed2
D18,RNA_thin_0.75,RNA,binomial_thinning,0.75,0,510,493,17,47.0,761.0,0.3000979103061468,0.6837456274449117,0.722517794447211,0.6632888753493636,0.8670213533366532,25517,0.1248864544426273,0.5222223726894772,5.747157676230361,0.9942770003243107,2912.8077759742737,82701516800,revision_results/phase2/02_modality/noise_full_retry1/D18/RNA_thin_0.75/seed0
D18,RNA_thin_0.75,RNA,binomial_thinning,0.75,1,510,491,19,46.0,1413.0,0.3192793399105281,0.7205986412326925,0.7254131309531644,0.7362378817921414,0.7913597792216339,25517,0.06120001576959072,0.5321291674924783,5.600910640068433,0.9915567755016876,2745.1879143714905,82705911808,revision_results/phase2/02_modality/noise_full_retry1/D18/RNA_thin_0.75/seed1
D18,RNA_thin_0.75,RNA,binomial_thinning,0.75,2,510,488,22,47.0,1216.0,0.311286288086952,0.6839349838690353,0.7253626207302831,0.663023349393392,0.8704351448763397,25517,0.07805452859278746,0.5236957487232881,5.62605227955173,0.9907339851931042,2914.8352122306824,82693525504,revision_results/phase2/02_modality/noise_full_retry1/D18/RNA_thin_0.75/seed2
D18,ADT_cell_permutation,ADT,cell_permutation,,0,510,510,0,49.0,97.0,0.1508871056358429,0.6835267053177682,0.7027494008800989,0.6772905722083037,0.8432992810561186,25517,0.06410316612960389,0.5200591263038966,5.874378611480062,0.9953031168085472,2749.816010951996,82467979264,revision_results/phase2/02_modality/noise_full_retry1/D18/ADT_cell_permutation/seed0
D18,ADT_cell_permutation,ADT,cell_permutation,,1,510,509,1,50.0,111.0,0.1557970559786291,0.6841012984400101,0.7062807195320652,0.676096169061377,0.8475368634384782,25517,0.0608450163824497,0.5198376855267434,5.908179757423882,0.9958463889173522,3006.0111458301544,82467913728,revision_results/phase2/02_modality/noise_full_retry1/D18/ADT_cell_permutation/seed1
D18,ADT_cell_permutation,ADT,cell_permutation,,2,510,505,5,50.0,203.0,0.1854119385368015,0.6605030477294856,0.6772821837075788,0.6563132492831905,0.8127386204490945,25517,0.06267109417046107,0.5175940045668891,5.826662161212155,0.9938007325947286,2766.9373848438263,82466992128,revision_results/phase2/02_modality/noise_full_retry1/D18/ADT_cell_permutation/seed2
D18,ATAC_cell_permutation,ATAC,cell_permutation,,0,510,509,1,52.0,101.0,0.1705859177975498,0.6679465911782073,0.7048669360109457,0.6521969854161073,0.845840323213135,25517,0.04137839452174755,0.48018241830903513,6.347041785847255,0.995134590642623,2812.9570350646973,82936500224,revision_results/phase2/02_modality/noise_full_retry1/D18/ATAC_cell_permutation/seed0
D18,ATAC_cell_permutation,ATAC,cell_permutation,,1,510,509,1,51.0,161.0,0.1493981476811983,0.6682031501716573,0.6990433180422951,0.6539492919872874,0.8388519816507541,25517,0.03732297650304919,0.4844692070022614,6.3356118561645935,0.9957216077367355,2750.147324323654,82935259136,revision_results/phase2/02_modality/noise_full_retry1/D18/ATAC_cell_permutation/seed1
D18,ATAC_cell_permutation,ATAC,cell_permutation,,2,510,510,0,51.0,115.0,0.1580263676580088,0.643565638357022,0.6602390198885782,0.6380048021061341,0.7922868238662939,25517,0.040595171999038664,0.4763102988399638,6.335457717640967,0.99376815654184,2725.08278632164,82936819712,revision_results/phase2/02_modality/noise_full_retry1/D18/ATAC_cell_permutation/seed2
D18,RNA_cell_permutation,RNA,cell_permutation,,0,510,510,0,51.0,123.0,0.1009041261996039,0.6768577150684297,0.7186880401049348,0.6574051235177082,0.8624256481259218,25517,0.03704448151186282,0.47337866140507834,6.4541818295602775,0.9952373872112148,2716.930993795395,82936893440,revision_results/phase2/02_modality/noise_full_retry1/D18/RNA_cell_permutation/seed0
D18,RNA_cell_permutation,RNA,cell_permutation,,1,510,510,0,51.0,92.0,0.0950721049481045,0.6734217754696372,0.7054428531299525,0.6587726065162562,0.8465314237559429,25517,0.033631830705660025,0.4790788754663408,6.419562774550368,0.9958151183639901,2801.300203561783,82982617088,revision_results/phase2/02_modality/noise_full_retry1/D18/RNA_cell_permutation/seed1
D18,RNA_cell_permutation,RNA,cell_permutation,,2,510,508,2,50.0,165.0,0.1215623890079147,0.6629722374709123,0.7018233824576895,0.6450956405835615,0.8421880589492273,25517,0.04014574356753969,0.47426978759654975,6.370578125767213,0.9938015312532624,2742.594856739044,82937106432,revision_results/phase2/02_modality/noise_full_retry1/D18/RNA_cell_permutation/seed2
