dataset,seed,modality_combination,data_type,block_dim,l2_norm_mean,l2_norm_median,l2_norm_p95,variance_trace,variance_per_dim_mean,pairwise_squared_distance_energy,sampled_pair_mean_abs_dot,normalization_before_concat,modality_weight,relative_abs_dot_contribution
D11,0,RNA+ATAC,RNA,32,5.143815517425537,5.144205093383789,5.1827919483184814,26.396900177001957,0.824903130531311,52.79380035400391,3.9769890308380127,False,1.0,0.3587504052709145
D11,0,RNA+ATAC,ATAC,32,5.140135765075684,5.139618873596191,5.197141408920288,26.257089614868164,0.8205340504646301,52.51417922973633,7.108682155609131,False,1.0,0.6412495947290855
D11,1,RNA+ATAC,RNA,32,5.13168478012085,5.131998062133789,5.167428016662598,26.249977111816406,0.8203117847442627,52.49995422363281,4.060506820678711,False,1.0,0.3701394985375893
D11,1,RNA+ATAC,ATAC,32,5.122813701629639,5.129281520843506,5.196329355239868,26.07406234741211,0.8148144483566284,52.14812469482422,6.9096999168396,False,1.0,0.6298605014624107
D11,2,RNA+ATAC,RNA,32,5.14671802520752,5.147402286529541,5.187227249145508,26.42352294921875,0.8257350921630859,52.8470458984375,4.040940284729004,False,1.0,0.3669002478453697
D11,2,RNA+ATAC,ATAC,32,5.147216796875,5.14765214920044,5.1891770362854,26.32892227172852,0.8227788209915161,52.65784454345703,6.972789764404297,False,1.0,0.6330997521546303
D17,0,RNA+ATAC,RNA,32,4.816591262817383,4.816891670227051,4.862489366531372,22.66324615478516,0.7082264423370361,45.32649230957031,3.650336742401123,False,1.0,0.4925890558236444
D17,0,RNA+ATAC,ATAC,32,4.884020805358887,4.883756160736084,4.927654886245728,23.676538467407227,0.7398918271064758,47.35307693481445,3.760174512863159,False,1.0,0.5074109441763556
D17,1,RNA+ATAC,RNA,32,4.808891773223877,4.809926509857178,4.85681676864624,22.499494552612305,0.7031092047691345,44.99898910522461,3.617976188659668,False,1.0,0.4886283067371134
D17,1,RNA+ATAC,ATAC,32,4.875758647918701,4.875635623931885,4.918443775177002,23.586196899414062,0.7370686531066895,47.172393798828125,3.786376237869263,False,1.0,0.5113716932628867
D17,2,RNA+ATAC,RNA,32,4.813997268676758,4.814444065093994,4.859860897064209,22.665111541748047,0.7082847356796265,45.330223083496094,3.5930871963500977,False,1.0,0.4855893807477964
D17,2,RNA+ATAC,ATAC,32,4.860867500305176,4.862545967102051,4.910109519958496,23.44686889648437,0.7327146530151367,46.89373779296875,3.8063480854034415,False,1.0,0.5144106192522037
D18,0,RNA+ATAC+ADT,RNA,32,4.401222229003906,4.401241779327393,4.449627494812011,19.17654037475586,0.5992668867111206,38.35308074951172,2.933551549911499,False,1.0,0.2732273480429943
D18,0,RNA+ATAC+ADT,ATAC,32,4.475852012634277,4.4743194580078125,4.535102272033692,19.743980407714844,0.6169993877410889,39.48796081542969,3.804912567138672,False,1.0,0.3543848310032678
D18,0,RNA+ATAC+ADT,ADT,32,4.211176872253418,4.211796760559082,4.279048919677734,14.161766052246094,0.4425551891326904,28.323532104492188,3.998204708099365,False,1.0,0.3723878209537379
D18,1,RNA+ATAC+ADT,RNA,32,4.396170139312744,4.3962812423706055,4.446108245849609,19.120370864868164,0.5975115895271301,38.24074172973633,2.900357246398926,False,1.0,0.2717369537288056
D18,1,RNA+ATAC+ADT,ATAC,32,4.469426155090332,4.469907760620117,4.521509456634521,19.668819427490234,0.6146506071090698,39.33763885498047,3.7911336421966553,False,1.0,0.355194556942388
D18,1,RNA+ATAC+ADT,ADT,32,4.234473705291748,4.23198938369751,4.353632259368896,14.347349166870115,0.4483546614646911,28.694698333740234,3.981909275054932,False,1.0,0.3730684893288064
D18,2,RNA+ATAC+ADT,RNA,32,4.397639751434326,4.398545742034912,4.450752258300781,19.123506546020508,0.5976095795631409,38.247013092041016,2.9105191230773926,False,1.0,0.2560638807918329
D18,2,RNA+ATAC+ADT,ATAC,32,4.464401245117188,4.463052749633789,4.528539848327637,19.619617462158203,0.6131130456924438,39.239234924316406,3.811854600906372,False,1.0,0.3353622638597363
D18,2,RNA+ATAC+ADT,ADT,32,4.310355186462402,4.301151752471924,4.4422194480896,14.159358024597168,0.4424799382686615,28.318716049194336,4.644005298614502,False,1.0,0.4085738553484307
D5,0,RNA+ADT,RNA,32,5.018606662750244,5.021175861358643,5.064271354675293,24.972028732299805,0.7803758978843689,49.94405746459961,3.906831979751587,False,1.0,0.2514911762292259
D5,0,RNA+ADT,ADT,32,5.182550430297852,5.190789699554443,5.317487573623657,15.37839698791504,0.4805749058723449,30.75679397583008,11.627836227416992,False,1.0,0.748508823770774
D5,1,RNA+ADT,RNA,32,5.025287628173828,5.027288913726807,5.084662771224975,25.050168991088867,0.7828177809715271,50.10033798217773,3.865283250808716,False,1.0,0.230292066799953
D5,1,RNA+ADT,ADT,32,5.296062469482422,5.2783074378967285,5.542977666854858,15.154181480407717,0.4735681712627411,30.30836296081543,12.91898250579834,False,1.0,0.769707933200047
D5,2,RNA+ADT,RNA,32,5.014032363891602,5.017055988311768,5.071257209777832,25.008607864379883,0.7815189957618713,50.017215728759766,3.851482391357422,False,1.0,0.2445669380220231
D5,2,RNA+ADT,ADT,32,5.306929111480713,5.315489768981934,5.472793388366699,16.26598358154297,0.5083119869232178,32.53196716308594,11.896690368652344,False,1.0,0.7554330619779769
