stage,wall_time_seconds,cpu_rss_start_bytes,cpu_rss_end_bytes,cpu_rss_peak_bytes,gpu_allocated_peak_bytes,gpu_reserved_peak_bytes,status,error_type,error_message
resource_preflight,0.06456675799563527,570953728,677158912,677158912,0,0,PASS,,
subset_materialization,1.1920260712504387,677158912,702160896,877203456,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,0.938000017311424,707305472,923217920,1418616832,0,0,PASS,,
anchor_initialization_before_warmup,0.2530956151895225,944046080,1029386240,1029386240,57880064,62914560,PASS,,
warmup_and_full_training,4.082134217955172,1029423104,1588350976,1588412416,223088640,255852544,PASS,,
inference,0.6482169781811535,1588473856,1589702656,1601294336,227518976,297795584,PASS,,
same_checkpoint_inference_stability,0.0006129513494670391,1593069568,1593151488,1593151488,130635264,297795584,PASS,,
common_evaluation,0.058856091927737,1593151488,1593950208,1593950208,130635264,297795584,PASS,,
metacell_aggregation,0.05774205690249801,1593950208,1624236032,1624236032,130635264,297795584,PASS,,
