dataset,seed,modality_combination,data_type,block_dim,l2_norm_mean,l2_norm_median,l2_norm_p95,variance_trace,variance_per_dim_mean,pairwise_squared_distance_energy,sampled_pair_mean_abs_dot,normalization_before_concat,relative_abs_dot_contribution
D18,0,RNA+ATAC+ADT,RNA,32,5.666749000549316,5.667118072509766,5.683047938346863,31.598567962646484,0.9874552488327026,63.19713592529297,6.562392234802246,False,0.18774199228625862
D18,0,RNA+ATAC+ADT,ATAC,32,5.684825897216797,5.685636520385742,5.698628449440003,19.078386306762695,0.5961995720863342,38.15677261352539,14.155660629272461,False,0.4049760870088941
D18,0,RNA+ATAC+ADT,ADT,32,5.707365036010742,5.708300590515137,5.73155529499054,19.246875762939453,0.6014648675918579,38.493751525878906,14.236259460449219,False,0.40728192070484726
