dataset,seed,modality_combination,data_type,block_dim,l2_norm_mean,l2_norm_median,l2_norm_p95,variance_trace,variance_per_dim_mean,pairwise_squared_distance_energy,sampled_pair_mean_abs_dot,normalization_before_concat,relative_abs_dot_contribution
D17,0,RNA+ATAC,RNA,32,5.670975685119629,5.673365592956543,5.691906380653381,29.076147079467773,0.9086295962333679,58.15229415893555,12.652517318725586,False,0.5295858527873886
D17,0,RNA+ATAC,ATAC,32,5.668972492218018,5.66490364074707,5.701248049736023,28.274765014648438,0.8835864067077637,56.549530029296875,11.238825798034668,False,0.4704141472126114
