dataset,seed,modality_combination,data_type,block_dim,l2_norm_mean,l2_norm_median,l2_norm_p95,variance_trace,variance_per_dim_mean,pairwise_squared_distance_energy,sampled_pair_mean_abs_dot,normalization_before_concat,relative_abs_dot_contribution,source_file
D11,0,RNA+ATAC,RNA,32,5.678637027740479,5.677939414978027,5.702055311203003,29.55939674377441,0.9237311482429504,59.11879348754883,9.1318941116333,False,0.3675639814909144,revision_results/02_modality/blockdiag/D11/modality_block_contribution.csv
D11,0,RNA+ATAC,ATAC,32,5.667149543762207,5.665596008300781,5.682126474380493,22.247314453125,0.6952285766601562,44.49462890625,15.712471961975098,False,0.6324360185090855,revision_results/02_modality/blockdiag/D11/modality_block_contribution.csv
D17,0,RNA+ATAC,RNA,32,5.670975685119629,5.673365592956543,5.691906380653381,29.076147079467773,0.908629596233368,58.15229415893555,12.652517318725586,False,0.4884660048819628,revision_results/02_modality/blockdiag/D17/modality_block_contribution.csv
D17,0,RNA+ATAC,ATAC,32,5.667111396789551,5.661267280578613,5.70156581401825,28.54433822631836,0.8920105695724487,57.08867645263672,13.25003719329834,False,0.5115339951180372,revision_results/02_modality/blockdiag/D17/modality_block_contribution.csv
D18,0,RNA+ATAC+ADT,RNA,32,5.672934532165527,5.672737121582031,5.689290928840637,29.306102752685547,0.9158157110214232,58.61220550537109,11.447622299194336,False,0.2756426474861405,revision_results/02_modality/blockdiag/D18/modality_block_contribution.csv
D18,0,RNA+ATAC+ADT,ATAC,32,5.682938098907471,5.687444686889648,5.70332989692688,17.6527099609375,0.5516471862792969,35.305419921875,15.894577980041504,False,0.3827190870371303,revision_results/02_modality/blockdiag/D18/modality_block_contribution.csv
D18,0,RNA+ATAC+ADT,ADT,32,5.7112650871276855,5.713874816894531,5.7400473833084105,19.297950744628903,0.6030609607696533,38.59590148925781,14.188464164733888,False,0.3416382654767292,revision_results/02_modality/blockdiag/D18/modality_block_contribution.csv
D5,0,RNA+ADT,RNA,32,5.6703972816467285,5.670815467834473,5.682363033294678,29.595020294189453,0.9248443841934204,59.190040588378906,14.723424911499023,False,0.5176634461164118,revision_results/02_modality/blockdiag/D5/modality_block_contribution.csv
D5,0,RNA+ADT,ADT,32,5.700603008270264,5.700092315673828,5.719846367835999,18.88391494750977,0.5901223421096802,37.76782989501953,13.71865463256836,False,0.4823365538835882,revision_results/02_modality/blockdiag/D5/modality_block_contribution.csv
