condition,perturbed_modality,perturbation_kind,retention_probability,dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
ADT_cell_permutation,ADT,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4 and CD8 activated memory,0.0075,Rare,15,0.0,0.0,0.0,0,,,108.0,132.4,140.0,0.0,0.0,0,0.0,0,0.0
ADT_cell_permutation,ADT,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4 memory,0.0865,Intermediate,173,0.2965879265091863,0.653179190751445,0.407942238267148,5,0.4660553587826316,0.2965879265091863,22.0,128.59999999999997,140.0,0.0057803468208092,0.653179190751445,1,0.0769230769230769,1,0.0769230769230769
ADT_cell_permutation,ADT,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4 naive I,0.0735,Intermediate,147,0.3495145631067961,0.4897959183673469,0.4079320113314448,4,0.3647767016411084,0.3495145631067961,63.0,132.4,140.0,0.0,0.4897959183673469,0,0.0,0,0.0
ADT_cell_permutation,ADT,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4 naive II,0.018,Intermediate,36,0.0,0.0,0.0,0,,,110.0,134.29999999999998,140.0,0.0,0.0,0,0.0,0,0.0
ADT_cell_permutation,ADT,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD56bright CD16dim NK,0.0185,Intermediate,37,0.0,0.0,0.0,0,,,67.0,209.69999999999996,258.0,0.0,0.0,0,0.0,0,0.0
ADT_cell_permutation,ADT,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD56dim CD16bright NK,0.206,Common,412,0.6897746967071057,0.9660194174757282,0.8048533872598584,7,0.5643526167807974,0.6897746967071057,34.0,202.79999999999995,258.0,0.0,0.9660194174757282,4,0.4444444444444444,1,0.1111111111111111
ADT_cell_permutation,ADT,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD8 effector,0.06,Intermediate,120,0.475,0.475,0.475,2,0.445,0.475,30.5,181.29999999999995,258.0,0.0,0.475,0,0.0,0,0.0
ADT_cell_permutation,ADT,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD8 memory,0.038,Intermediate,76,0.2,0.0526315789473684,0.0833333333333333,1,0.2,0.2,30.5,125.75,140.0,0.0,0.0526315789473684,0,0.0,0,0.0
ADT_cell_permutation,ADT,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD8 naive,0.0385,Intermediate,77,0.6153846153846154,0.1038961038961039,0.1777777777777778,2,0.6527777777777778,0.6153846153846154,63.0,132.4,140.0,0.0,0.1038961038961039,2,0.2222222222222222,1,0.1111111111111111
ADT_cell_permutation,ADT,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Classical monocytes,0.1035,Common,207,0.4699074074074074,0.9806763285024156,0.6353677621283255,3,0.4280275805025527,0.4699074074074074,39.0,227.4,248.0,0.0,0.9806763285024156,0,0.0,0,0.0
