dataset,data_type,metacell_id,size,compactness_cosine_mean,compactness_percentile,modality_conflict_anchor
D17,ATAC,0,16,0.32258105278015137,0.575,False
D17,ATAC,1,29,0.40129461884498596,0.825,False
D17,ATAC,2,3,0.30507364869117737,0.475,False
D17,ATAC,3,8,0.2559712827205658,0.325,False
D17,ATAC,4,2,0.09393525123596191,0.025,True
D17,ATAC,5,10,0.27394533157348633,0.4,False
D17,ATAC,6,6,0.22305496037006378,0.225,True
D17,ATAC,7,2,0.1274864375591278,0.05,False
D17,ATAC,8,39,0.38791269063949585,0.75,False
D17,ATAC,9,34,0.3223251402378082,0.55,False
D17,ATAC,10,12,0.3139555752277374,0.5,False
D17,ATAC,11,6,0.3300569951534271,0.65,False
D17,ATAC,12,136,0.3278654217720032,0.625,False
D17,ATAC,13,11,0.3881542980670929,0.775,False
D17,ATAC,14,3,0.34719595313072205,0.675,False
D17,ATAC,15,9,0.3984350562095642,0.8,False
D17,ATAC,16,96,0.3142721951007843,0.525,False
D17,ATAC,17,17,0.2473209947347641,0.3,False
D17,ATAC,18,38,0.4359710216522217,0.9,True
D17,ATAC,19,104,0.2105685919523239,0.175,True
D17,ATAC,20,42,0.3707101047039032,0.725,False
D17,ATAC,21,20,0.5633817911148071,1.0,False
D17,ATAC,22,186,0.22530639171600342,0.25,False
D17,ATAC,23,4,0.2619549632072449,0.35,False
D17,ATAC,24,4,0.20247061550617218,0.15,False
D17,ATAC,25,8,0.3273746371269226,0.6,False
D17,ATAC,26,8,0.2681507468223572,0.375,False
D17,ATAC,27,12,0.40862056612968445,0.85,False
D17,ATAC,28,23,0.27525797486305237,0.425,False
D17,ATAC,29,374,0.1799757033586502,0.1,True
D17,ATAC,30,16,0.4711434841156006,0.975,True
D17,ATAC,31,209,0.1988687813282013,0.125,False
D17,ATAC,32,7,0.44659534096717834,0.95,False
D17,ATAC,33,119,0.4161623418331146,0.875,True
D17,ATAC,34,6,0.36733779311180115,0.7,False
D17,ATAC,35,12,0.21320772171020508,0.2,False
D17,ATAC,36,265,0.17833805084228516,0.075,True
D17,ATAC,37,21,0.3036509156227112,0.45,False
D17,ATAC,38,49,0.23435568809509277,0.275,False
D17,ATAC,39,34,0.44036436080932617,0.925,True
D18,RNA,0,229,0.08635447919368744,0.25,False
D18,RNA,1,291,0.2522854208946228,0.75,False
D18,RNA,2,11,0.054206494241952896,0.075,False
D18,RNA,3,3,0.04200072959065437,0.025,False
D18,RNA,4,47,0.34139060974121094,0.975,False
D18,RNA,5,138,0.06134995073080063,0.125,False
D18,RNA,6,10,0.20647668838500977,0.55,False
D18,RNA,7,3,0.13251085579395294,0.4,False
D18,RNA,8,158,0.18763646483421326,0.45,False
D18,RNA,9,14,0.2796867787837982,0.85,False
D18,RNA,10,13,0.08650922775268555,0.275,False
D18,RNA,11,116,0.0550464428961277,0.1,False
D18,RNA,12,115,0.3033148944377899,0.875,False
D18,RNA,13,80,0.07896442711353302,0.225,True
D18,RNA,14,29,0.06314949691295624,0.15,True
D18,RNA,15,5,0.07053247839212418,0.175,False
D18,RNA,16,13,0.19235144555568695,0.5,True
D18,RNA,17,6,0.13247762620449066,0.375,False
D18,RNA,18,15,0.2241116613149643,0.625,False
D18,RNA,19,47,0.235717311501503,0.675,False
D18,RNA,20,20,0.24820756912231445,0.725,False
D18,RNA,21,5,0.21425041556358337,0.575,False
D18,RNA,22,35,0.13217729330062866,0.35,False
D18,RNA,23,36,0.1870589554309845,0.425,False
D18,RNA,24,270,0.3139212131500244,0.9,False
D18,RNA,25,33,0.26445472240448,0.8,False
D18,RNA,26,2,0.12644696235656738,0.325,False
D18,RNA,27,26,0.22711223363876343,0.65,False
D18,RNA,28,17,0.33942940831184387,0.95,False
D18,RNA,29,6,0.24041645228862762,0.7,False
D18,RNA,30,32,0.07296127080917358,0.2,True
D18,RNA,31,14,0.22211040556430817,0.6,False
D18,RNA,32,26,0.1907777488231659,0.475,False
D18,RNA,33,22,0.11709248274564743,0.3,True
D18,RNA,34,19,0.5489819645881653,1.0,True
D18,RNA,35,18,0.33469825983047485,0.925,False
D18,RNA,36,12,0.2721714675426483,0.825,False
D18,RNA,37,40,0.1956704556941986,0.525,False
D18,RNA,38,15,0.26442253589630127,0.775,False
D18,RNA,39,9,0.05316339433193207,0.05,False
D18,ATAC,0,229,0.08156852424144745,0.1,False
D18,ATAC,1,291,0.22132624685764313,0.475,False
D18,ATAC,2,11,0.24579201638698578,0.55,False
D18,ATAC,3,3,0.01994611881673336,0.025,False
D18,ATAC,4,47,0.32055965065956116,0.9,False
D18,ATAC,5,138,0.09998539835214615,0.175,False
D18,ATAC,6,10,0.2853774428367615,0.775,False
D18,ATAC,7,3,0.17825831472873688,0.325,False
D18,ATAC,8,158,0.3120000660419464,0.875,False
D18,ATAC,9,14,0.16780100762844086,0.3,False
D18,ATAC,10,13,0.2947148084640503,0.8,False
D18,ATAC,11,116,0.07580143958330154,0.05,False
D18,ATAC,12,115,0.259951651096344,0.675,False
D18,ATAC,13,80,0.07738444954156876,0.075,True
D18,ATAC,14,29,0.09219200909137726,0.15,True
D18,ATAC,15,5,0.1031498908996582,0.2,False
D18,ATAC,16,13,0.3690792918205261,0.975,True
D18,ATAC,17,6,0.14277027547359467,0.275,False
D18,ATAC,18,15,0.1842479556798935,0.375,False
D18,ATAC,19,47,0.23474664986133575,0.5,False
D18,ATAC,20,20,0.2526114583015442,0.6,False
D18,ATAC,21,5,0.19605429470539093,0.4,False
D18,ATAC,22,35,0.21280045807361603,0.45,False
D18,ATAC,23,36,0.3287369906902313,0.925,False
D18,ATAC,24,270,0.24522626399993896,0.525,False
D18,ATAC,25,33,0.20955707132816315,0.425,False
D18,ATAC,26,2,0.12111520767211914,0.225,False
D18,ATAC,27,26,0.27709248661994934,0.7,False
D18,ATAC,28,17,0.2827591001987457,0.75,False
D18,ATAC,29,6,0.24902857840061188,0.575,False
D18,ATAC,30,32,0.08438815921545029,0.125,True
D18,ATAC,31,14,0.2807808518409729,0.725,False
D18,ATAC,32,26,0.2555430233478546,0.65,False
D18,ATAC,33,22,0.2963937819004059,0.825,True
D18,ATAC,34,19,0.1275797337293625,0.25,True
D18,ATAC,35,18,0.255323588848114,0.625,False
D18,ATAC,36,12,0.30253612995147705,0.85,False
D18,ATAC,37,40,0.3710634112358093,1.0,False
D18,ATAC,38,15,0.33696502447128296,0.95,False
D18,ATAC,39,9,0.17966784536838531,0.35,False
D18,ADT,0,229,0.16699738800525665,0.725,False
D18,ADT,1,291,0.1604054719209671,0.625,False
D18,ADT,2,11,0.05191073566675186,0.025,False
D18,ADT,3,3,0.09887772798538208,0.2,False
D18,ADT,4,47,0.16608688235282898,0.7,False
D18,ADT,5,138,0.06538538634777069,0.1,False
D18,ADT,6,10,0.10599850118160248,0.275,False
D18,ADT,7,3,0.052047133445739746,0.05,False
D18,ADT,8,158,0.12675778567790985,0.375,False
D18,ADT,9,14,0.17947041988372803,0.875,False
D18,ADT,10,13,0.13412944972515106,0.425,False
D18,ADT,11,116,0.10194988548755646,0.25,False
D18,ADT,12,115,0.1892232745885849,0.95,False
D18,ADT,13,80,0.18054607510566711,0.9,True
D18,ADT,14,29,0.16975745558738708,0.775,True
D18,ADT,15,5,0.10962420701980591,0.325,False
D18,ADT,16,13,0.0726955458521843,0.175,True
D18,ADT,17,6,0.17013661563396454,0.8,False
D18,ADT,18,15,0.14175470173358917,0.5,False
D18,ADT,19,47,0.1754595786333084,0.85,False
D18,ADT,20,20,0.13532698154449463,0.45,False
D18,ADT,21,5,0.05246269702911377,0.075,False
D18,ADT,22,35,0.1625933200120926,0.65,False
D18,ADT,23,36,0.1359751969575882,0.475,False
D18,ADT,24,270,0.1682666689157486,0.75,False
D18,ADT,25,33,0.14175842702388763,0.525,False
D18,ADT,26,2,0.06786119937896729,0.125,False
D18,ADT,27,26,0.13320857286453247,0.4,False
D18,ADT,28,17,0.16352029144763947,0.675,False
D18,ADT,29,6,0.15721260011196136,0.575,False
D18,ADT,30,32,0.1817445307970047,0.925,True
D18,ADT,31,14,0.11807281523942947,0.35,False
D18,ADT,32,26,0.15798375010490417,0.6,False
D18,ADT,33,22,0.10105479508638382,0.225,True
D18,ADT,34,19,0.29985761642456055,1.0,True
D18,ADT,35,18,0.2058602124452591,0.975,False
D18,ADT,36,12,0.10692576318979263,0.3,False
D18,ADT,37,40,0.15055760741233826,0.55,False
D18,ADT,38,15,0.17504972219467163,0.825,False
D18,ADT,39,9,0.07177437841892242,0.15,False
D5,RNA,0,35,0.13529852032661438,0.7941176470588235,False
D5,RNA,1,16,0.04575929418206215,0.17647058823529413,False
D5,RNA,2,9,0.07674048095941544,0.5588235294117647,False
D5,RNA,3,109,0.11454261839389801,0.7058823529411765,False
D5,RNA,4,121,0.05355019122362137,0.23529411764705882,False
D5,RNA,5,44,0.07643458247184753,0.5294117647058824,False
D5,RNA,6,1,-1.1920928955078125e-07,0.029411764705882353,False
D5,RNA,7,20,0.14150173962116241,0.8235294117647058,False
D5,RNA,8,13,0.14480172097682953,0.8529411764705882,True
D5,RNA,11,69,0.05695275962352753,0.3235294117647059,False
D5,RNA,13,58,0.06590303778648376,0.5,False
D5,RNA,14,184,0.05557061731815338,0.2647058823529412,False
D5,RNA,15,9,0.09936974197626114,0.6470588235294118,False
D5,RNA,16,110,0.09303347766399384,0.5882352941176471,False
D5,RNA,17,246,0.05764138698577881,0.35294117647058826,False
D5,RNA,18,1,0.0,0.07352941176470588,False
D5,RNA,19,11,0.09374304115772247,0.6176470588235294,False
D5,RNA,20,38,0.20352308452129364,0.9411764705882353,False
D5,RNA,21,14,0.17825426161289215,0.9117647058823529,False
D5,RNA,22,1,0.0,0.07352941176470588,False
D5,RNA,23,57,0.047738440334796906,0.20588235294117646,True
D5,RNA,24,14,0.11547445505857468,0.7352941176470589,False
D5,RNA,25,6,0.2036914974451065,0.9705882352941176,False
D5,RNA,26,2,0.11827901005744934,0.7647058823529411,False
D5,RNA,27,19,0.06354648619890213,0.4411764705882353,False
D5,RNA,28,7,0.021181736141443253,0.14705882352941177,False
D5,RNA,29,11,0.06096329912543297,0.4117647058823529,False
D5,RNA,31,572,0.15753760933876038,0.8823529411764706,False
D5,RNA,32,9,0.06496339291334152,0.47058823529411764,False
D5,RNA,33,17,0.2813439965248108,1.0,False
D5,RNA,34,7,0.056060485541820526,0.29411764705882354,False
D5,RNA,35,132,0.10643996298313141,0.6764705882352942,False
D5,RNA,37,28,0.06043997406959534,0.38235294117647056,False
D5,RNA,38,10,0.008967459201812744,0.11764705882352941,False
D5,ADT,0,35,0.1344430148601532,0.35294117647058826,False
D5,ADT,1,16,0.1444099396467209,0.47058823529411764,False
D5,ADT,2,9,0.15572690963745117,0.7352941176470589,False
D5,ADT,3,109,0.13784383237361908,0.4117647058823529,False
D5,ADT,4,121,0.13644428551197052,0.38235294117647056,False
D5,ADT,5,44,0.15453043580055237,0.7058823529411765,False
D5,ADT,6,1,0.0,0.058823529411764705,False
D5,ADT,7,20,0.09821976721286774,0.2647058823529412,False
D5,ADT,8,13,0.08448589593172073,0.23529411764705882,True
D5,ADT,11,69,0.14147956669330597,0.4411764705882353,False
D5,ADT,13,58,0.1999538093805313,0.9705882352941176,False
D5,ADT,14,184,0.15926402807235718,0.7647058823529411,False
D5,ADT,15,9,0.15439650416374207,0.6764705882352942,False
D5,ADT,16,110,0.15249593555927277,0.5882352941176471,False
D5,ADT,17,246,0.07067889720201492,0.11764705882352941,False
D5,ADT,18,1,0.0,0.058823529411764705,False
D5,ADT,19,11,0.08399087935686111,0.20588235294117646,False
D5,ADT,20,38,0.17632384598255157,0.8823529411764706,False
D5,ADT,21,14,0.14670024812221527,0.5,False
D5,ADT,22,1,0.0,0.058823529411764705,False
D5,ADT,23,57,0.19410595297813416,0.9411764705882353,True
D5,ADT,24,14,0.25105446577072144,1.0,False
D5,ADT,25,6,0.18381761014461517,0.9117647058823529,False
D5,ADT,26,2,0.16428223252296448,0.8235294117647058,False
D5,ADT,27,19,0.15331371128559113,0.6176470588235294,False
D5,ADT,28,7,0.08295521885156631,0.14705882352941177,False
D5,ADT,29,11,0.10288310796022415,0.29411764705882354,False
D5,ADT,31,572,0.15133285522460938,0.5588235294117647,False
D5,ADT,32,9,0.1633029580116272,0.7941176470588235,False
D5,ADT,33,17,0.16893470287322998,0.8529411764705882,False
D5,ADT,34,7,0.15399740636348724,0.6470588235294118,False
D5,ADT,35,132,0.08354064077138901,0.17647058823529413,False
D5,ADT,37,28,0.14764927327632904,0.5294117647058824,False
D5,ADT,38,10,0.10802674293518066,0.3235294117647059,False
