stage,wall_time_seconds,cpu_rss_start_bytes,cpu_rss_end_bytes,cpu_rss_peak_bytes,gpu_allocated_peak_bytes,gpu_reserved_peak_bytes,status,error_type,error_message
resource_preflight,0.07452883291989565,570941440,677335040,677335040,0,0,PASS,,
subset_materialization,1.1880140658468008,677359616,700772352,877060096,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,0.9943831120617688,706027520,921419776,1591132160,0,0,PASS,,
anchor_initialization_before_warmup,0.27253902796655893,944197632,1045622784,1045622784,57732096,62914560,PASS,,
warmup_and_full_training,4.991206691134721,1045655552,1588121600,1588178944,222953984,255852544,PASS,,
inference,0.867557923309505,1588195328,1589284864,1600933888,226545664,297795584,PASS,,
same_checkpoint_inference_stability,0.0011573038063943386,1592717312,1592717312,1592717312,130225152,297795584,PASS,,
common_evaluation,0.08799102483317256,1592717312,1593352192,1593352192,130225152,297795584,PASS,,
metacell_aggregation,0.06826535519212484,1593352192,1629212672,1629212672,130225152,297795584,PASS,,
