stage,wall_time_seconds,cpu_rss_start_bytes,cpu_rss_end_bytes,cpu_rss_peak_bytes,gpu_allocated_peak_bytes,gpu_reserved_peak_bytes,status,error_type,error_message
resource_preflight,0.08414110681042075,572256256,678273024,678273024,0,0,PASS,,
subset_materialization,5.574409688822925,678273024,746614784,1751539712,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,5.1738622658886015,751165440,2121740288,3737804800,0,0,PASS,,
anchor_initialization_before_warmup,0.7666264269500971,2123223040,2443522048,2443522048,193738240,218103808,PASS,,
warmup_and_full_training,5.491866726893932,2443534336,3328520192,3397427200,1276711936,1423966208,PASS,,
inference,1.3174677263014019,3328593920,3329830912,3620257792,1814664192,2661285888,PASS,,
same_checkpoint_inference_stability,0.0009182048961520195,3332907008,3333029888,3333029888,394016256,2661285888,PASS,,
common_evaluation,0.05157698132097721,3333029888,3333668864,3333668864,394016256,2661285888,PASS,,
metacell_aggregation,0.3539969972334802,3333668864,3383709696,3384070144,394016256,2661285888,PASS,,
