stage,wall_time_seconds,cpu_rss_start_bytes,cpu_rss_end_bytes,cpu_rss_peak_bytes,gpu_allocated_peak_bytes,gpu_reserved_peak_bytes,status,error_type,error_message
resource_preflight,0.07098206738010049,570761216,676700160,676700160,0,0,PASS,,
subset_materialization,1.1947457818314433,676700160,701538304,876433408,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,0.933720130007714,706797568,921145344,1417854976,0,0,PASS,,
anchor_initialization_before_warmup,0.3274564230814576,943812608,1045278720,1045278720,57678336,62914560,PASS,,
warmup_and_full_training,5.896453027613461,1045319680,1587875840,1589243904,221832192,255852544,PASS,,
inference,1.0306671098805964,1587945472,1589129216,1600622592,226191872,297795584,PASS,,
same_checkpoint_inference_stability,0.0012574000284075737,1592553472,1592553472,1592553472,130076160,297795584,PASS,,
common_evaluation,0.07729359297081828,1592553472,1593196544,1593196544,130076160,297795584,PASS,,
metacell_aggregation,0.05920317117124796,1593196544,1620086784,1620086784,130076160,297795584,PASS,,
