stage,wall_time_seconds,cpu_rss_start_bytes,cpu_rss_end_bytes,cpu_rss_peak_bytes,gpu_allocated_peak_bytes,gpu_reserved_peak_bytes,status,error_type,error_message
resource_preflight,0.09333787066861987,570544128,676667392,676667392,0,0,PASS,,
subset_materialization,0.41695462027564645,676667392,742248448,747028480,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,4.947893153876066,746930176,2301181952,5450342400,0,0,PASS,,
anchor_initialization_before_warmup,0.5373014430515468,2328854528,2590330880,2590330880,185705984,209715200,PASS,,
warmup_and_full_training,6.438677333761007,2590359552,3406417920,3449221120,1122180608,1199570944,PASS,,
inference,1.512126084882766,3406438400,3407699968,3678003200,1693840384,2436890624,PASS,,
same_checkpoint_inference_stability,0.0013569928705692291,3410673664,3410673664,3410673664,353670656,2436890624,PASS,,
common_evaluation,0.07528253179043531,3410673664,3411378176,3411378176,353670656,2436890624,PASS,,
metacell_aggregation,0.41044021490961313,3411378176,3476570112,3519852544,353670656,2436890624,PASS,,
