dataset,seed,implementation_tag,reference,inference_batch_size,cell_order_seed,cell_order,realized_K,wall_time_seconds,peak_gpu_allocated_bytes,n_cells,ARI,NMI,VI_nats,coassignment_agreement_rand
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,40,0.800007691141218,419600384,2000,0.7701886479106161,0.7924483839219364,1.1338335859258375,0.9613256628314156
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,0,permuted,40,0.849489213898778,419600384,2000,0.7657762907425125,0.7881056628731952,1.163251649169433,0.961048024012006
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1,permuted,40,0.6951685519888997,419600384,2000,0.7651195322740529,0.785420854260726,1.1781959711147838,0.9609899949974988
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,2,permuted,40,0.6988506373018026,419600384,2000,0.7785839292643604,0.790826082884865,1.1416496523961737,0.9627298649324664
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,3,permuted,40,0.6959551386535168,419600384,2000,0.7895114340797453,0.802029460741314,1.0835907172809571,0.9649829914957478
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,4,permuted,40,0.700293452013284,419600384,2000,0.7823336688524607,0.8006996710699044,1.090443482471744,0.9636978489244622
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,5,permuted,40,0.6969034280627966,419600384,2000,0.7825110546990534,0.7990459564838898,1.101578730001263,0.9638509254627312
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,6,permuted,40,0.6937455181032419,419600384,2000,0.7895366373414195,0.8009502921601126,1.088653401838564,0.964728864432216
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,7,permuted,40,0.8142383429221809,419600384,2000,0.7743971689908636,0.791932185852353,1.1375656179013998,0.9621125562781392
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,8,permuted,40,0.795962069183588,419600384,2000,0.7651884431586605,0.7829018305286313,1.1868508906883104,0.9606128064032016
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,9,permuted,40,0.7028021276928484,419600384,2000,0.7959208388599893,0.8063132795562452,1.0616562230347126,0.9661435717858928
D11,0,instrumented_legacy,legacy_eval_loader_assignment,512,-1,canonical,40,0.5984687558375299,485920768,2000,0.8323453150897905,0.8461064336884946,0.8431537974270489,0.9721870935467734
D11,0,instrumented_legacy,legacy_eval_loader_assignment,512,0,permuted,40,0.6532364939339459,485920768,2000,0.8099715060905748,0.819422461635831,0.993631761606566,0.9687938969484744
D11,0,instrumented_legacy,legacy_eval_loader_assignment,512,1,permuted,40,0.6784004960209131,485920768,2000,0.7903380618817448,0.807505609099149,1.056729596563177,0.9652786393196598
D11,0,instrumented_legacy,legacy_eval_loader_assignment,512,2,permuted,40,0.6604522727429867,485920768,2000,0.8035209633488961,0.8182509902173801,0.9972660586524942,0.9673476738369184
D11,0,instrumented_legacy,legacy_eval_loader_assignment,512,3,permuted,40,0.6946919239126146,485920768,2000,0.8011018198623954,0.8132268141837662,1.0284298511186405,0.9671325662831416
D11,0,instrumented_legacy,legacy_eval_loader_assignment,512,4,permuted,40,0.6757243182510138,485920768,2000,0.8060567810691036,0.8181822672649728,1.0014687213087727,0.9682531265632816
D11,0,instrumented_legacy,legacy_eval_loader_assignment,512,5,permuted,40,0.657951392699033,485920768,2000,0.818402135834577,0.8296134839298784,0.9369531648401992,0.969991995997999
D11,0,instrumented_legacy,legacy_eval_loader_assignment,512,6,permuted,40,0.6742503941059113,485920768,2000,0.8024251493363931,0.8117573078995919,1.03209540660702,0.9670900450225112
D11,0,instrumented_legacy,legacy_eval_loader_assignment,512,7,permuted,40,0.6954863439314067,485920768,2000,0.7810242251904752,0.8014945826976452,1.096102129908811,0.9642356178089044
