status,dataset,method,seed,cells,realized_K,factors,ARI,NMI,AMI,ACC,balanced_accuracy,wall_time_seconds
PASS,D18,GARQ,0,25517,497,15,0.6534031714033742,0.7470417197070593,0.7379512035488425,0.7464788732394366,0.4765117726037265,44.080565155827775
PASS,D18,GARQ,1,25517,493,15,0.6277477435017572,0.7521987865938920,0.7428010874078383,0.7565922920892495,0.6394497915877226,40.93193981004879
PASS,D18,GARQ,2,25517,486,15,0.5885872802944592,0.7137637234266558,0.7035992146367430,0.7119341563786008,0.3748307656395891,33.118748364038765
PASS,D18,KMeans,0,25517,510,15,0.6136955388070722,0.7509833521704957,0.7411188528342430,0.6882352941176471,0.5744719839908519,48.36372345685959
PASS,D18,KMeans,1,25517,510,15,0.5042821477974877,0.6870389112223192,0.6753762943175374,0.6196078431372549,0.5909937260806826,41.64530452387741
PASS,D18,KMeans,2,25517,510,15,0.5699907605830512,0.7205144494996404,0.7078984373590609,0.6235294117647059,0.5649889528337403,57.13554190611147
PASS,D18,MetaQ,0,25517,511,15,0.6106568530578497,0.7089863458875671,0.6979644345493251,0.7181996086105675,0.4347188995215311,42.51702048629522
PASS,D18,MetaQ,1,25517,505,15,0.4245374830997664,0.5913628882063940,0.5753258215856462,0.5801980198019802,0.4898424755462338,43.88122348999604
PASS,D18,MetaQ,2,25517,517,15,0.5022003127968360,0.6546337108163060,0.6414891994083962,0.6479690522243714,0.4725328928189388,39.54103635484353
PASS,D18,SEACells,0,25517,510,15,0.6563694319223184,0.7753364013797573,0.7649388661741440,0.7470588235294118,0.7179772367164924,45.97657028663224
PASS,D18,SEACells,1,25517,510,15,0.6398394764001382,0.7844228067236577,0.7741142384735410,0.7313725490196078,0.6331040673423286,35.54578953309664
PASS,D18,SEACells,2,25517,510,15,0.6705293194221264,0.8067788438618254,0.7977444567392222,0.7568627450980392,0.6297856904999762,42.30394055029267
