training_step,epoch,phase,batch_cells,assignment_nonempty_anchor_count,usage_sum,usage_min,usage_median,usage_max,usage_entropy_nats,usage_perplexity,usage_gini,manual_reposition_enabled,reposition_interval,reposition_due,local_branch_condition,local_branch_executed,beta_s_min,beta_s_median,beta_s_max,beta_l_min,beta_l_median,beta_l_max,manual_displacement_min,manual_displacement_median,manual_displacement_max,manual_displacement_anchor_count,anchor_nan_count,anchor_inf_count
1,1,quantized_training,256,29,0.09999999403953552,0.0,0.0007812500116415322,0.01835937611758709,2.814364433288574,16.68256950378418,0.6833985447883606,True,1,True,False,False,1.276619925771621e-32,0.04389302060008049,0.9990005493164062,,,,0.0,0.3652091324329376,10.95971965789795,34,0,0
2,1,quantized_training,256,20,0.1899999976158142,0.0,0.0027343749534338713,0.021484375,3.1850802898406982,24.169227600097656,0.5438733696937561,True,1,True,False,False,4.757555702981201e-38,7.803678272466641e-07,0.9990005493164062,,,,0.0,8.814588909444865e-06,8.996115684509277,30,0,0
3,1,quantized_training,256,18,0.2709999978542328,0.0003164062218274921,0.003199218772351742,0.0380859375,3.0877652168273926,21.92801856994629,0.5846336483955383,True,1,True,False,False,0.0,2.7666417281579925e-06,0.28178104758262634,,,,0.0,2.2269310647970997e-05,2.4661872386932373,25,0,0
4,1,quantized_training,256,18,0.34389999508857727,0.0002847655850928277,0.0028792968951165676,0.05498046800494194,2.964388847351074,19.382854461669922,0.630612850189209,True,1,True,False,False,0.0,9.947508260665927e-06,0.3197990655899048,,,,0.0,8.513304783264175e-05,2.288635015487671,25,0,0
5,1,quantized_training,256,18,0.4095099866390228,0.0005125780589878559,0.0029894919134676456,0.06901367008686066,2.9529147148132324,19.16172218322754,0.6366295218467712,True,1,True,False,False,0.0,5.200366558710812e-06,0.12856608629226685,,,,0.0,3.670739897643216e-05,1.1574889421463013,24,0,0
6,1,quantized_training,256,18,0.4685589671134949,0.00046132024726830423,0.002737300703302026,0.08359667658805847,2.905430793762207,18.273113250732422,0.6553397178649902,True,1,True,False,False,0.0,2.4535668217140483e-06,0.15782301127910614,,,,0.0,2.4146749638020992e-05,1.2540719509124756,24,0,0
7,1,quantized_training,256,18,0.5217030644416809,0.0004151882021687925,0.0028541956562548876,0.09008075296878815,2.84004545211792,17.116544723510742,0.678895115852356,True,1,True,False,False,0.0,8.92841853783466e-06,0.18980596959590912,,,,0.0,7.375328277703375e-05,1.4944841861724854,24,0,0
8,2,quantized_training,256,21,0.5695327520370483,0.00037366937613114715,0.003015507711097598,0.10216642171144485,2.8006114959716797,16.4547061920166,0.6912149786949158,True,1,True,False,False,0.0,3.033601615243242e-06,0.22409671545028687,,,,0.0,3.3949341741390526e-05,1.7245582342147827,23,0,0
9,2,quantized_training,256,20,0.6125794649124146,0.0006726048304699361,0.0031045819632709026,0.10444977879524231,2.7855353355407715,16.208492279052734,0.6956026554107666,True,1,True,False,False,0.0,2.9690804126403236e-07,0.06778466701507568,,,,0.0,2.057574647551519e-06,0.5617938041687012,24,0,0
10,2,quantized_training,256,24,0.651321530342102,0.0006053443066775799,0.0027941237203776836,0.11275479197502136,2.7705326080322266,15.967135429382324,0.7005859613418579,True,1,True,False,False,0.0,2.797245599595044e-07,0.0887104943394661,,,,0.0,2.6160705601796508e-06,0.8033336997032166,23,0,0
11,2,quantized_training,256,21,0.6861892938613892,0.0006810124032199383,0.0032054733019322157,0.12022930383682251,2.7550506591796875,15.721837997436523,0.7050918936729431,True,1,True,False,False,0.0,2.6511159489928104e-07,0.06554295867681503,,,,0.0,2.464360477461014e-06,0.520751953125,23,0,0
12,2,quantized_training,256,19,0.7175703644752502,0.0006129111279733479,0.003432302502915263,0.12617512047290802,2.7326102256774902,15.37296199798584,0.7106818556785583,True,1,True,False,False,0.0,1.4926698099770874e-07,0.08606569468975067,,,,0.0,1.0588912573439302e-06,0.8074536323547363,24,0,0
13,2,quantized_training,256,21,0.7458133101463318,0.0005516199744306505,0.0032087911386042833,0.13152635097503662,2.7093474864959717,15.0194730758667,0.7168676257133484,True,1,True,False,False,0.0,2.3550475702904805e-07,0.10997744649648666,,,,0.0,2.1018233837821754e-06,0.8081053495407104,24,0,0
14,2,quantized_training,256,19,0.7712319493293762,0.0004964579711668193,0.0034336198586970568,0.14063933491706848,2.673658609390259,14.49289608001709,0.7265339493751526,True,1,True,False,False,0.0,4.2225875063195417e-07,0.13712915778160095,,,,0.0,3.41272834702977e-06,0.9602212309837341,24,0,0
15,3,quantized_training,256,17,0.7941087484359741,0.0005461038090288639,0.00320076709613204,0.14376290142536163,2.6512680053710938,14.171998023986816,0.7320960760116577,True,1,True,False,False,0.0,1.5881698800512822e-06,0.11243103444576263,,,,0.0,1.1764511327783111e-05,0.816754162311554,24,0,0
16,3,quantized_training,256,19,0.8146978616714478,0.0004914934397675097,0.0031790751963853836,0.14813660085201263,2.6340298652648926,13.929792404174805,0.7374284267425537,True,1,True,False,False,0.0,2.073520590784028e-06,0.1398795247077942,,,,0.0,1.538417927804403e-05,0.9809033870697021,24,0,0
17,3,quantized_training,256,22,0.8332279920578003,0.0005066849989816546,0.0029441837687045336,0.15324480831623077,2.6284849643707275,13.852766990661621,0.7389920949935913,True,1,True,False,False,0.0,1.2292433666516445e-06,0.13163267076015472,,,,0.0,1.2032679478579666e-05,0.9999101161956787,23,0,0
