dataset,seed,implementation_tag,reference,inference_batch_size,cell_order_seed,cell_order,realized_K,wall_time_seconds,peak_gpu_allocated_bytes,n_cells,ARI,NMI,VI_nats,coassignment_agreement_rand
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,-1,canonical,35,0.4762151772156358,134341120,2000,0.8595397923958822,0.8349135216751454,0.8498710023065374,0.9683901950975488
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,0,permuted,34,0.4827710660174489,134341120,2000,0.8545522654065891,0.8211569257203079,0.9248139073861505,0.9676473236618309
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,1,permuted,34,0.48354299319908023,134341120,2000,0.8520415854075344,0.8142713880064972,0.9641389627997476,0.967360180090045
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,2,permuted,34,0.3058524997904897,134341120,2000,0.8451715432418694,0.8191018945341509,0.9353928547452943,0.9655607803901951
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,3,permuted,34,0.2920466549694538,134341120,2000,0.8543429079140766,0.8221173199131043,0.9198132990012509,0.9674972486243122
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,4,permuted,35,0.29100612876936793,134341120,2000,0.8524425216933853,0.817879126066726,0.9436957825846939,0.9672586293146573
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,5,permuted,37,0.3564534648321569,134341120,2000,0.8471261779769331,0.8155429071338525,0.9538473427550214,0.9659234617308654
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,6,permuted,34,0.2957483003847301,134341120,2000,0.8498816904784482,0.8213637474146118,0.9235977082011129,0.9666113056528264
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,7,permuted,35,0.290523705072701,134341120,2000,0.8766562823721598,0.8354365564433366,0.8532690078515017,0.9727433716858429
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,8,permuted,37,0.29016330000013113,134341120,2000,0.8513475044875785,0.8191767450054298,0.9345975610572488,0.9667728864432216
D5,0,instrumented_legacy,legacy_eval_loader_assignment,256,9,permuted,35,0.29023307003080845,134341120,2000,0.8519443172181352,0.8248279676758996,0.9022708066379659,0.966775887943972
D5,0,instrumented_legacy,legacy_eval_loader_assignment,512,-1,canonical,36,0.2818614128045738,139125248,2000,0.9031312608379698,0.8757454087240826,0.6451563521943777,0.9785647823911956
D5,0,instrumented_legacy,legacy_eval_loader_assignment,512,0,permuted,35,0.3827981147915125,139125248,2000,0.8725061547924335,0.8415876207045312,0.8238938210103726,0.971855927963982
D5,0,instrumented_legacy,legacy_eval_loader_assignment,512,1,permuted,33,0.28121950291097164,139125248,2000,0.8801043416260462,0.8433860041444396,0.8162600514914775,0.9738139069534767
D5,0,instrumented_legacy,legacy_eval_loader_assignment,512,2,permuted,33,0.2820103778503835,139125248,2000,0.8767218952873177,0.8519479570973548,0.7691843026916807,0.972911455727864
D5,0,instrumented_legacy,legacy_eval_loader_assignment,512,3,permuted,36,0.280170660931617,139125248,2000,0.8741502979037601,0.8452052495588172,0.8076217795970564,0.9724117058529265
D5,0,instrumented_legacy,legacy_eval_loader_assignment,512,4,permuted,35,0.2819839841686189,139125248,2000,0.8831369157137373,0.8497070040516488,0.7811188373133238,0.9742886443221611
D5,0,instrumented_legacy,legacy_eval_loader_assignment,512,5,permuted,36,0.28172574983909726,139125248,2000,0.8735531750215653,0.8371471811469807,0.849294739870678,0.9723486743371685
D5,0,instrumented_legacy,legacy_eval_loader_assignment,512,6,permuted,35,0.27967123314738274,139125248,2000,0.8826383497802337,0.8493282206855745,0.7835364582693867,0.9741450725362681
D5,0,instrumented_legacy,legacy_eval_loader_assignment,512,7,permuted,36,0.2809821730479598,139125248,2000,0.8649249294055722,0.830829650965672,0.8821715402890256,0.9704822411205603
D5,0,instrumented_legacy,legacy_eval_loader_assignment,512,8,permuted,35,0.2798133110627532,139125248,2000,0.871058722959046,0.8381983021962686,0.8449077922183621,0.9718369184592296
D5,0,instrumented_legacy,legacy_eval_loader_assignment,512,9,permuted,36,0.28378954995423555,139125248,2000,0.8688991085891244,0.8384365337342012,0.8422060682198032,0.9713606803401701
D5,0,instrumented_legacy,legacy_eval_loader_assignment,1024,-1,canonical,34,0.2851946670562029,155553792,2000,1.0,1.0,0.0,1.0
D5,0,instrumented_legacy,legacy_eval_loader_assignment,1024,0,permuted,33,0.38655104022473097,155553792,2000,0.8876995796345364,0.8601073628449661,0.7301046862112059,0.9755557778889444
D5,0,instrumented_legacy,legacy_eval_loader_assignment,1024,1,permuted,34,0.2801166260614991,155553792,2000,0.9000155539400492,0.8671005601904401,0.6964469222437186,0.9784207103551776
D5,0,instrumented_legacy,legacy_eval_loader_assignment,1024,2,permuted,33,0.2787899700924754,155553792,2000,0.8912439154404508,0.8634397597957222,0.7147663405751956,0.9764552276138069
D5,0,instrumented_legacy,legacy_eval_loader_assignment,1024,3,permuted,35,0.28048258926719427,155553792,2000,0.8971341333248911,0.8676061500984634,0.6901421267758083,0.9775152576288144
D5,0,instrumented_legacy,legacy_eval_loader_assignment,1024,4,permuted,34,0.28229787899181247,155553792,2000,0.8990564122437975,0.8636903676029516,0.7128366252317582,0.9781130565282641
D5,0,instrumented_legacy,legacy_eval_loader_assignment,1024,5,permuted,33,0.3732259953394532,155553792,2000,0.8903255030316503,0.8576962967896414,0.747193893443856,0.9764612306153077
D5,0,instrumented_legacy,legacy_eval_loader_assignment,1024,6,permuted,34,0.27973239310085773,155553792,2000,0.9023579393846277,0.8752017751733056,0.6556224246835463,0.9790470235117559
D5,0,instrumented_legacy,legacy_eval_loader_assignment,1024,7,permuted,34,0.2780805039219558,155553792,2000,0.8912979712912376,0.8594532302232437,0.7372297269331236,0.9765302651325662
D5,0,instrumented_legacy,legacy_eval_loader_assignment,1024,8,permuted,33,0.27935630921274424,155553792,2000,0.9093106236354548,0.8768408100191586,0.6444914831596265,0.9803461730865433
D5,0,instrumented_legacy,legacy_eval_loader_assignment,1024,9,permuted,33,0.2809114116244018,155553792,2000,0.8971143544814117,0.8681551461034412,0.6905105985247282,0.9778184092046023
