stage,wall_time_seconds,cpu_rss_start_bytes,cpu_rss_end_bytes,cpu_rss_peak_bytes,gpu_allocated_peak_bytes,gpu_reserved_peak_bytes,status,error_type,error_message
resource_preflight,0.09254891192540526,569364480,675381248,675381248,0,0,PASS,,
subset_materialization,1.8360560270957649,675381248,749477888,821342208,0,0,PASS,,
h5ad_loading_and_legacy_preprocessing,4.475649367552251,753979392,2317766656,5472722944,0,0,PASS,,
anchor_initialization_before_warmup,0.5407859403640032,2338185216,2672668672,2672668672,184103424,209715200,PASS,,
warmup_and_full_training,5.718375875148922,2672668672,3426983936,3492630528,1116142080,1168113664,PASS,,
inference,1.4978079139254987,3427115008,3428298752,3697647616,1685986304,2405433344,PASS,,
same_checkpoint_inference_stability,0.0008682277984917164,3431051264,3431051264,3431051264,349715968,2405433344,PASS,,
common_evaluation,0.04773186333477497,3431051264,3431706624,3431706624,349715968,2405433344,PASS,,
metacell_aggregation,0.3110268912278116,3431706624,3487346688,3543650304,349715968,2405433344,PASS,,
