dataset,seed,modality_combination,data_type,block_dim,l2_norm_mean,l2_norm_median,l2_norm_p95,variance_trace,variance_per_dim_mean,pairwise_squared_distance_energy,sampled_pair_mean_abs_dot,normalization_before_concat,modality_weight,relative_abs_dot_contribution
D17,1,RNA+ATAC,RNA,32,5.680130481719971,5.6820831298828125,5.703742623329163,28.635883331298828,0.8948713541030884,57.271766662597656,12.810921669006348,False,1.0,0.5366722848584644
D17,1,RNA+ATAC,ATAC,32,5.665210723876953,5.661214828491211,5.695286393165588,29.000276565551758,0.9062586426734924,58.000553131103516,11.060111045837402,False,1.0,0.4633277151415356
